Lobbying Firm,Client Prefix,Client First Name,Client Middle,Client Last Name,Client Suffix,Report Quarter,Report Year,Project,Reference Number,Reference Number Type,Project Location,City Agencies Lobbied,Lobbying Firm Quarterly Report
Park & Velayos,,,,"Playa Capital Company, LLC",,3,2013,VILLAGE AT PLAYA VISTA,,,,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16327
Alston & Bird LLP,,,,BENHAR/EDITING FILM CENTER,,3,2013,SEWARD/ROMAINE ENTITLEMENTS,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16349
Mayer Brown LLP,,,,JMB Realty Corporation,,3,2013,"Approvals for Century City Center Project, a 37 Story Building Development.",,,,"City Council (incl. Districts and Committees) | Planning, City | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16380
Mayer Brown LLP,,,,La Caze Development Company,,3,2013,Assist Client with Harbor Gateway Project.,,,,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16380
Mayer Brown LLP,,,,Vopak Terminal Los Angeles Inc.,,3,2013,Assist Client with Negotiation of Terminal Lease Extension.,,,,"City Council (incl. Districts and Committees) | Harbor (Port of LA, POLA)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16380
Mayer Brown LLP,,,,Bloom Energy,,3,2013,LADWP Interconnections for Fuel Cells.,,,,"Building and Safety | Planning, City | Water & Power (DWP)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16380
Mayer Brown LLP,,,,Los Angeles Police Protective League,,3,2013,Assist Client with State and Local Legislative Matters.,,,,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16380
Mayer Brown LLP,,,,"AquaHelio Management, Inc.",,3,2013,LADWP Interconnection for Solar Project.,,,,Water & Power (DWP),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16380
Mayer Brown LLP,,,,Duncan Solutions,,3,2013,Assist Client with RFP for Parking Ticket Processing and Collections.,,,,"Mayor, Office of | City Council (incl. Districts and Committees) | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16380
Mayer Brown LLP,,,,Summit Media LLC,,3,2013,Issues regarding City's Sign Ordinance and Related Litigation.,,,,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16380
Mayer Brown LLP,,,,Clay Lacy Aviation,,3,2013,Providing Legal Services for a Replacement Lease at Van Nuys Airport.,,,,"City Council (incl. Districts and Committees) | Airports, Los Angeles World (LAWA, LAX)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16380
Mayer Brown LLP,,,,Ensemble Investments,,3,2013,Assist Client with Various Development Sites in Los Angeles.,,,,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16380
Mayer Brown LLP,,,,Blue Shield of California,,3,2013,Assist Client with Potential Contracts for Health Coverage.,,,,City Council (incl. Districts and Committees) | Personnel,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16380
Greenberg Traurig LLP,,,,CBS  Decaux,,3,2013,Bus Shelter Contract ,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16383
Greenberg Traurig LLP,,,,JC Decaux,,3,2013,LAX Advertising Contract ,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16383
"Craig Lawson & Co., LLC",,,,1200 S. Figueroa LLC,,3,2013,Mixed Use Project,,,Downtown Los Angeles,"City Council (incl. Districts and Committees) | Building and Safety | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16259
"Craig Lawson & Co., LLC",,,,Abode Communities,,3,2013,Single Family Residential Project,72271,APC,San Fernando Valley,"City Council (incl. Districts and Committees) | Building and Safety | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16259
"Craig Lawson & Co., LLC",,,,Amacon Construction Ltd.,,3,2013,Mixed Use Project,,,Downtown Los Angeles,"Mayor, Office of | City Council (incl. Districts and Committees) | Building and Safety | Planning, City | Public Works, Engineering",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16259
"Craig Lawson & Co., LLC",,,,Carmel Partners Inc.,,3,2013,Mixed Use Project,,,Downtown Los Angeles,"City Council (incl. Districts and Committees) | Building and Safety | Planning, City | Public Works, Engineering",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16259
"Craig Lawson & Co., LLC",,,,Holland Partners,,3,2013,Mixed Use Project,,,La Brea,"Mayor, Office of | City Council (incl. Districts and Committees) | Building and Safety | Planning, City | Public Works, Engineering",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16259
"Craig Lawson & Co., LLC",,,,Kaiser Foundation Health Plan Inc.,,3,2013,Development Project,,,Chatsworth,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16259
"Craig Lawson & Co., LLC",,,,LA Main Affiliates LLC,,3,2013,Mixed Use Project,,,Downtown Los Angeles,"City Council (incl. Districts and Committees) | Building and Safety | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16259
"Craig Lawson & Co., LLC",,,,Lizard Capital,,3,2013,High Rise Hotel Project,,,Downtown Los Angeles,"City Council (incl. Districts and Committees) | Building and Safety | Fire (LAFD) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16259
"Craig Lawson & Co., LLC",,,,The Hanover Company,,3,2013,Mixed Use Project,,,Downtown Los Angeles,"City Council (incl. Districts and Committees) | Building and Safety | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16259
"Craig Lawson & Co., LLC",,,,Villa Marina MHRP V,,3,2013,Mixed Use Project,,,Marina del Rey,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16259
"Craig Lawson & Co., LLC",,,,West Coast Investors,,3,2013,Development Project,,,Chatsworth,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16259
Mercury Public Affairs,,,,American Progressive Bag Alliance,,3,2013,Proposed Ban on Plastic Bags (Oppose),N/A,,N/A,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15968
Mercury Public Affairs,,,,California Restaurant Association,,3,2013,Instituting Stringent Land Use Controls on Quick Service Restaurants in South Los Angeles (Oppose),N/A,,N/A,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15968
Mercury Public Affairs,,,,First Solar,,3,2013,General Brand Enhancement Activities and Support of City's Renewable Portfolio Standard,,,,City Council (incl. Districts and Committees) | Water & Power (DWP),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15968
Latham & Watkins LLP,,,,"Apartment Investments & Management Company (""AIMCO"")",,3,2013,General land use and transportation matters.,,,,"City Council (incl. Districts and Committees) | Building and Safety | Neighborhood Councils | Planning, City | Water & Power (DWP)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16400
Latham & Watkins LLP,,,,Archer School for Girls,,3,2013,Land use and transportation matters-,,,6104 Hollywood Blvd.,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16400
Latham & Watkins LLP,,,,Clear Channel Outdoor,,3,2013,Assist client in connection with outdoor advertising issues.,,,,"City Attorney, Office of | City Council (incl. Districts and Committees) | Building and Safety",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16400
Latham & Watkins LLP,,,,Forest Lawn Memorial Park Assn,,3,2013,General transportation matters -- ,,,,"City Council (incl. Districts and Committees) | City Clerk | Planning, City | Public Works, Board of",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16400
Latham & Watkins LLP,,,,"Health Net, Inc.   ",,3,2013,Health Care Provider Matters,,,,"City Attorney, Office of | City Council (incl. Districts and Committees)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16400
Latham & Watkins LLP,,,,"Honeywell International, Inc.",,3,2013,Land use and transportation matters-,,,6104 Hollywood Blvd.,Water & Power (DWP),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16400
Latham & Watkins LLP,,,,"NBCUniversal Media, LLC",,3,2013,General Land Use & Transportation Matters   ,,,"100 Universal City Plaza, Universal City, CA 91608","City Attorney, Office of | City Council (incl. Districts and Committees) | Planning, City | Transportation (LADOT, DOT) | Water & Power (DWP)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16400
Latham & Watkins LLP,,,,The Buckley School,,3,2013,General land use and transportation issues,,APC," 3900 Stansbury Avenue Sherman Oaks, CA 91423","Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16400
Latham & Watkins LLP,,,,"Westfield, LLC",,3,2013,"Land & transportation issues concerning 9933, 9937 & 9941 Tower Lane",,,1201 Tower Grove Drive,"City Council (incl. Districts and Committees) | Building and Safety | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16400
Latham & Watkins LLP,,,,"Wilshire Gayley, LLC",,3,2013,Land use and transportation matters-,,,6104 Hollywood Blvd.,"City Council (incl. Districts and Committees) | Planning, City | Public Works, Board of",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16400
"Englander, Knabe and Allen",,,,Pulice Construction,,3,2013,Construction and Wastewater Projects,,,,"Airports, Los Angeles World (LAWA, LAX) | Public Works, Engineering | Public Works, Sanitation",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16136
Erin Lehane,,,,JMB Realty Corporation,,3,2013,Century City Center,,,Century City,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16405
Latham & Watkins LLP,,,,St. Matthewï¿½s Parish School,,3,2013,General Land Use & Transportation Matters and Plan Approval,,,"1031 Bienveneda Avenue, Pacific Palisades","City Attorney, Office of | City Council (incl. Districts and Committees)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16400
Latham & Watkins LLP,,,,Tribune Company,,3,2013,General transportation matters -- ,,,,Building and Safety | Fire (LAFD),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16400
Katten Muchin Rosenman LLP,,,,Holland Partners,,3,2013,6th & Bixel,,,,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16413
Katten Muchin Rosenman LLP,,,,Kalnel Gardens,,3,2013,Kalnell Gardens,,,,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16413
Kuba & Assoc,,,,American Florist Exchange,,3,2013,Issues pertaining to the American Florist Exchange,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16443
Kuba & Assoc,,,,Childrens Hospital Los Angeles,,3,2013,Property issues,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16443
Kuba & Assoc,,,,LA Fire Chief Officers Association,,3,2013,Issues pertaining to LAFCOA,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16443
Kuba & Assoc,,,,Los Angeles County Disposal Association,,3,2013,Exclusive Franchise Waste Hauling System,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16443
Kuba & Assoc,,,,"Tower Lane Properties, Inc.",,3,2013,"Tower Lane Properties, Inc.",,,"9933, 9937, 9941 Tower Ln",,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16443
Kuba & Assoc,,,,United Food and Commerical Workers 770,,3,2013,Issues pertaining to UFCW.,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16443
Sage Strategic Advisors LLC,,,,"HEALTH NET, INC.",,3,2013,HEALTH CARE PROVIDER MEDICAL AND DENTAL ISSUES,,,,"Mayor, Office of | City Attorney, Office of | Controller, Office of | City Council (incl. Districts and Committees)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16444
Sage Strategic Advisors LLC,,,,"AIRBUS AMERICAS, INC.",,3,2013,ANY CITY ISSUES,,,,"Mayor, Office of | City Attorney, Office of | Controller, Office of | City Council (incl. Districts and Committees) | Aging | Airports, Los Angeles World (LAWA, LAX)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16444
Sage Strategic Advisors LLC,,,,"ORACLE AMERICA, INC.",,3,2013,TECHNOLOGY SERVICES,,,,"Mayor, Office of | City Attorney, Office of | Controller, Office of | City Council (incl. Districts and Committees) | Aging | Airports, Los Angeles World (LAWA, LAX) | Animal Services | Board of Referred Powers | Building and Safety | Chief Administrative Officer (CAO) | Chief Legislative Analyst (CLA) | City Clerk | Commission on Community and Family Services | Community Redevelopment Agency (CRA) | Convention Center | Cultural Affairs | Deferred Compensation Board | Dept of Neighborhood Empowerment (DONE) | Disability | Economic and Workforce Development Dept (EWDD) | El Pueblo | Emergency Management | Employee Relations Board | Environmental Affairs | Ethics Commission, City (CEC) | Finance, Office of | Fire (LAFD) | Fire and Police Pension | General Services | Harbor (Port of LA, POLA) | Housing and Community Investment | Housing Authority (HACLA) | Human Relations Commission | Industrial Development Authority | Information Technology Agency (ITA) | LA City Employees' Retirement System (LACERS) | Library ",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16444
Sage Strategic Advisors LLC,,,,CALIFORNIA STATE PIPE TRADES AND DISTRICT COUNCIL 16,,3,2013,PRODUCT COMPLIANCE AND PLUMPING CODE,,,,"Mayor, Office of | City Attorney, Office of | Controller, Office of | City Council (incl. Districts and Committees) | Aging | Airports, Los Angeles World (LAWA, LAX) | Animal Services | Board of Referred Powers | Building and Safety | Chief Administrative Officer (CAO) | Chief Legislative Analyst (CLA) | City Clerk | Commission on Community and Family Services | Community Redevelopment Agency (CRA) | Convention Center | Cultural Affairs | Deferred Compensation Board | Dept of Neighborhood Empowerment (DONE) | Disability | Economic and Workforce Development Dept (EWDD) | El Pueblo | Emergency Management | Employee Relations Board | Environmental Affairs | Ethics Commission, City (CEC) | Finance, Office of | Fire (LAFD) | Fire and Police Pension | General Services | Harbor (Port of LA, POLA) | Housing and Community Investment | Housing Authority (HACLA) | Human Relations Commission | Industrial Development Authority | Information Technology Agency (ITA) | LA City Employees' Retirement System (LACERS) | Library ",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16444
Cartozian Associates,,,,City of Ontario,,3,2013,Ontario Airport,,,City of Ontario,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16446
Sugerman Communications Group,,,,Archer School for Girls,,3,2013,Master Plan,,,,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16355
Sugerman Communications Group,,BRUCE & MARTHA,,KARSH,,3,2013,9933-9941 TOWER GROVE PLACE,,,,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16355
Sugerman Communications Group,,,,LOYOLA MARYMOUNT UNIVERSITY,,3,2013,COMMUNITY AND GOVERNMENTAL OUTREACH,,,,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16355
Sugerman Communications Group,,,,"Capri Urban Baldwin, LLC; Capri Urban Crenshaw, LLC",,3,2013,Baldwin Hills Crenshaw Plaza Redevelopment Project,,,,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16355
"Sheppard, Mullin, Richter & Hampton LLP",,,,Champion Real Estate Company,,3,2013,Highland Selma Venture Project,2011-2157-ZV-SPR,APC,,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16469
"Sheppard, Mullin, Richter & Hampton LLP",,,,Champion Real Estate Company,,3,2013,Hollywood Cherokee Apartments,2013-521-DB-SPR,APC,,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16469
"Sheppard, Mullin, Richter & Hampton LLP",,,,Cooperative of American Physicians,,3,2013,Business Tax,,,,"City Attorney, Office of",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16469
"Sheppard, Mullin, Richter & Hampton LLP",,,,Flying Food Group,,3,2013,Resolution of Living Wage Ordinance Dispute,,,,"Public Works, Contract Administration",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16469
"Sheppard, Mullin, Richter & Hampton LLP",,,,"Forest City Residential West, Inc.",,3,2013,Blossom Plaza,61837,APC,,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16469
"Sheppard, Mullin, Richter & Hampton LLP",,,,"Harridge Development Group, LLC",,3,2013,Tramonto Drive Condominium Project,2000-2697-CDP,APC,,"Building and Safety | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16469
"Sheppard, Mullin, Richter & Hampton LLP",,,,"Hollywood Orange Land, LLC",,3,2013,Madame Tussauds,2003-3183-ZV-SPR-PA2,APC,,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16469
"Sheppard, Mullin, Richter & Hampton LLP",,,,Hudson Capital LLC,,3,2013,Sunset Bronson Studios,2010-1767-CU-SPR-GB,APC,,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16469
"Sheppard, Mullin, Richter & Hampton LLP",,,,Icon LA Ultra Lounge,,3,2013,Conditional Use Permit,,,,Police (LAPD),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16469
"Sheppard, Mullin, Richter & Hampton LLP",,John,,Ladner,,3,2013,8935 Wonderland,Plan Check No. X12LA21664,APC,,Building and Safety,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16469
"Sheppard, Mullin, Richter & Hampton LLP",,,,Millennium Partners LA,,3,2013,"Millennium Hollywood:  CEQA, Entitlements, Community Outreach",13-0593; 13-0593-S1,APC,,"City Council (incl. Districts and Committees) | Building and Safety | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16469
"Sheppard, Mullin, Richter & Hampton LLP",,,,RECP Sydell Wilshire,,3,2013,Wilshire Hotel,2013-1374-CUB-CUX,APC,,"Building and Safety | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16469
"Sheppard, Mullin, Richter & Hampton LLP",,,,Taft Owner Partners LLC,,3,2013,Taft Building,2012-2355-MCUP-CUX,APC,,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16469
"Sheppard, Mullin, Richter & Hampton LLP",,Petros,,Taglyan,,3,2013,Commercial & residential project in east Hollywood,2009-38-SPR-DB,APC,,"Building and Safety | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16469
"Sheppard, Mullin, Richter & Hampton LLP",,,,The Walt Disney Company,,3,2013,Jimmy Kimmel sign application,08-2020,APC,,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16469
"Sheppard, Mullin, Richter & Hampton LLP",,,,"Chinese Theatre, LLC",,3,2013,Chinese Theatre IMAX Update,2013-34-SPE-SPP; DIR-2013-280-SPP,APC,,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16469
"Kirra, LLC",,,,Career Arc Group,,3,2013,General legislation,N/A,,N/A,"Mayor, Office of",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16474
"Kirra, LLC",,,,CH2M HILL,,3,2013,General Transportation Issues ,,,,"Mayor, Office of",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16474
"Kirra, LLC",,,,OTG Management,,3,2013,General legislation,N/A,,N/A,"Airports, Los Angeles World (LAWA, LAX)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16474
"Kirra, LLC",,,,Velocity Vehicle Group,,3,2013,General legislation,N/A,,N/A,"Mayor, Office of | Public Works, Board of",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16474
M & B Associates,,,,The Katherman Co. on behalf of YMCA of Metropolitan Los Angeles,,3,2013,Overhead Power Distribution,,,4301 W. 3rd Street,Water & Power (DWP),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16480
Mercury Public Affairs,,,,Tribune,,3,2013,Downtown redevelopment,,,,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15968
Butterfield Communications,,,,Wallenius Wilhelmsenn Logistics,,3,2013,POLA Leasing Issues,,,,"Mayor, Office of | City Council (incl. Districts and Committees) | Harbor (Port of LA, POLA)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16484
Mercury Public Affairs,,,,Wilcon,,3,2013,Technology and infrastructure development,,,,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15968
Veronica Perez & Associates,,,,"Airport Connection, Inc.",,3,2013,Rideshare Concession,,,LAWA,"Mayor, Office of | City Council (incl. Districts and Committees) | Airports, Los Angeles World (LAWA, LAX) | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16499
Veronica Perez & Associates,,,,Asplundh/Utility Tree Service,,3,2013,Tree Trimming Procurement,,,LADWP,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16499
M Jimenez Consulting,,,,AL-SAMRIYAH L.A. LCC,,3,2013,PLANNING DEPARTMENT REVIEW,,,,"Fire (LAFD) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16503
M Jimenez Consulting,,,,MOTION PICTURE TELEVISION FUND,,3,2013,REVOCABLE PERMIT,,,,"Public Works, Board of | Public Works, Engineering",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16503
M Jimenez Consulting,,JOHN ,,LADNER,,3,2013,CERTIFICATE OF OCCUPANCY,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16503
M Jimenez Consulting,,ROBERT,,WILSON,,3,2013,APPEAL OF BUILDING AND SAFETY ORDER TO COMPLY,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16503
M Jimenez Consulting,,,,"SIZE, LLC",,3,2013,5531 HOLLYWOOD BOULEVARD,,,,"Building and Safety | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16503
Veronica Perez & Associates,,,,Arcadis US Inc.,,3,2013,Street Repair/POLA/LAWA contracts,,,,"Mayor, Office of | City Council (incl. Districts and Committees) | Airports, Los Angeles World (LAWA, LAX)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16499
Veronica Perez & Associates,,,,CBS Outdoor Inc.,,3,2013,Sign Ordinance,,,,"City Attorney, Office of | City Council (incl. Districts and Committees) | Building and Safety | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16499
Veronica Perez & Associates,,,,Central City Association of Los Angeles,,3,2013,Consolidation/Economic Development Non Profit/Misc.,,,,"Mayor, Office of | City Attorney, Office of | City Council (incl. Districts and Committees) | Building and Safety | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16499
Veronica Perez & Associates,,,,McDonald's Corporation,,3,2013,Community Plan Updates,,,,"Mayor, Office of | City Council (incl. Districts and Committees) | Building and Safety | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16499
Jeffer Mangels Butler & Mitchell LLP,,,,Ronald A. Simms Commercial Development and Montel Associates LP,,3,2013,Entitlements for mixed use project,,,10925 Lindbrook/1140 S. Gayley,"City Council (incl. Districts and Committees) | Building and Safety | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16504
Jeffer Mangels Butler & Mitchell LLP,,,,PLB Management dba Park La Brea Apts.,,3,2013,Various entitlements for Park La Brea Apts.,,,18013 Devonshire,City Council (incl. Districts and Committees) | Building and Safety,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16504
Jeffer Mangels Butler & Mitchell LLP,,,,"1400 Linda Flora Associates, LLC",,3,2013,Entitlements and follow up for 1400 Linda Flora,,,1400 Linda Flora,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16504
Jeffer Mangels Butler & Mitchell LLP,,,,"7th Street Property Investors, LLC",,3,2013,Entitlements for mixed use project,,,1329 W. 7th St.,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=16504
