TAX PERIOD,NAICS,PRIMARY NAICS DESCRIPTION,LOCATION COUNT,TOTAL MEASURE
201400A,541219,Other accounting services,3241,$973671962.02
200900A,423910,Sporting & recreational goods & supplies,209,$127327853.00
200700A,453910,Pet & pet supplies stores,74,$48144749.00
201100A,442200,Home furnishings stores,765,$520584294.75
200800A,812990,All other personal services,7655,$336708723.61
201400A,423300,Lumber & other construction materials,277,$677758075.73
201400A,442110,Furniture stores,1006,$608215507.79
200600A,541219,Other accounting services,2261,$632487973.01
200500A,332000,Fabricated metal product mfg.,135,$251295742.77
201100A,523130,Commodity contracts dealers,48,$11369964.28
201200A,425120,Wholesale trade agents & brokers,1670,$1380875740.70
200700A,235420,"Drywall, Plastering, Acoustical, and Insulation Contractors (1997 NAICS)",342,$278530782.00
201000A,524290,Other insurance related activities,152,$79645422.00
200600A,453210,Office supplies & stationery stores,215,$277265374.47
200800A,541600,"Management, scientific, & technical consulting services",7399,$1534246790.35
200900A,453920,Art dealers,507,$25189620.43
201100A,888888,Medical Marijuana Collective,477,$54323521.00
201000A,621111,Offices of physicians (except mental health specialists),5148,$2972707544.94
201100A,444130,Hardware stores,467,$643070694.95
201300A,812920,Photofinishing,147,$9853475.00
201200A,423300,Lumber & other construction materials,298,$546780806.91
201400A,485510,Charter bus industry,47,$27568553.00
200800A,424210,Drugs & druggists' sundries,229,$347743956.00
201000A,523110,Investment bankers & securities dealers,86,$346767085.00
201300A,443130,Camera & photographic supplies stores,113,$16762185.00
201100A,541990,"All other professional, scientific, & technical services",8832,$1108828691.24
201200A,541370,Surveying & mapping (except geophysical) services,49,$10104720.00
201100A,812220,Cemeteries & crematories,17,$19080019.00
201300A,451110,Sporting goods stores,400,$172972473.00
201400A,722110,Full-service restaurants,6888,$4824280333.48
200700A,541990,"All other professional, scientific, & technical services",4354,$480793723.92
200600A,492000,Couriers & messengers,419,$7928699.00
200900A,423600,Electrical & electronic goods,1172,$1970385614.00
201100A,448310,Jewelry stores,1148,$189658679.04
200800A,238990,All other specialty trade contractors,1990,$601263659.50
200800A,238340,Tile & terrazzo contractors,247,$58457025.00
201000A,541213,Tax preparation services,1055,$208728651.00
201100A,721310,Rooming & boarding houses,314,$324177620.00
201400A,444200,Lawn & garden equipment & supplies stores,127,$43455693.00
201300A,445220,Fish & seafood markets,82,$87469493.00
201400A,623000,Nursing & residential care facilities,558,$649822566.50
200900A,524290,Other insurance related activities,127,$80273952.16
201100A,811120,"Automotive body, paint, interior, & glass repair",505,$87672549.00
200600A,541360,Geophysical surveying & mapping services,21,$1970068.00
201200A,516110,Internet publishing & broadcasting,983,$194841449.00
201200A,311300,Sugar & confectionery product mfg.,117,$5697603.00
201200A,532290,Other consumer goods rental,3871,$955084172.13
200900A,487000,Scenic & sightseeing transportation,129,$15442488.00
200900A,453210,Office supplies & stationery stores,276,$236941686.00
200800A,234110,Highway and Street Construction (1997 NAICS),32,$159349357.00
201300A,621400,Outpatient  care centers,500,$315995588.96
201200A,339900,Other miscellaneous mfg.,1909,$495562436.43
201200A,541211,Offices of certified public accountants,710,$448544947.00
201400A,441229,All other motor vehicle dealers,454,$985809871.00
200900A,235520,Floor Laying and Other Floor Contractors (1997 NAICS),373,$119035682.00
201300A,561740,Carpet & upholstery cleaning services,653,$38268121.00
200900A,423100,Motor vehicle & motor vehicle parts & supplies,961,$1458882527.00
200700A,721310,Rooming & boarding houses,274,$213014431.00
201300A,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",6571,$2595436322.98
201200A,561720,Janitorial services,9794,$404154022.52
201000A,443111,Household appliance stores,364,$170360358.00
201200A,541100,Legal services,6992,$8206693758.78
201200A,441110,New car dealers,396,$3422434402.50
201300A,541211,Offices of certified public accountants,774,$498546870.00
201000A,532220,Formal wear & costume rental,128,$22950830.00
201400A,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),1044,$652775939.53
200600A,511000,Publishing industries (except Internet),155,$169192815.00
201300A,423400,Professional & commercial equipment & supplies,1137,$1716358139.35
200700A,333000,Machinery mfg.,48,$79161757.00
200500A,488000,Support activities for transportation (including motor vehicle towing),657,$686941843.76
201400A,336000,Transportation equipment mfg.,87,$115939474.00
201400A,115310,Support activities for forestry,678,$127572230.07
201000A,235410,Masonry and Stone Contractors (1997 NAICS),59,$14585840.00
200900A,446130,Optical goods stores,193,$127265795.00
200600A,531100,Lessors of real estate (including mini warehouses & self-storage units),30615,$7611874135.14
200700A,518111,Internet service providers,108,$71417936.00
200700A,424100,Paper & paper products,218,$347720653.00
200800A,237210,Land subdivision,251,$427372204.00
201000A,454310,Fuel dealers,68,$265355408.00
201100A,621510,Medical & diagnostic laboratories,433,$549296066.00
201300A,448130,Children's & infants' clothing stores,292,$76288404.05
201200A,322000,Paper mfg.,68,$38613899.00
201000A,423700,"Hardware, & plumbing & heating equipment  & supplies",188,$298672133.86
200500A,454390,"Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)",2210,$923691595.06
200500A,561730,Landscaping services,2001,$64396039.32
200800A,722410,Drinking places (alcoholic beverages),234,$56659544.00
201100A,424300,"Apparel, piece goods, & notions",3354,$2803822606.85
201200A,513330,Telecommunications Resellers,6,$6206246.00
201200A,326000,Plastics & rubber products mfg.,147,$38450987.00
200500A,531210,Offices of real estate agents & brokers,1467,$905532512.67
200900A,235110,"Plumbing, Heating, and Air-Conditioning Contractors (1997 NAICS)",1991,$684016060.04
200800A,811430,Footwear & leather goods repair,140,$5751266.00
200500A,541990,"All other professional, scientific, & technical services",2024,$165889117.15
201100A,423930,Recyclable materials,289,$273331355.18
200700A,561720,Janitorial services,5625,$220639354.15
201400A,621320,Offices of optometrists,181,$61828440.00
201100A,444190,Other building materials dealers,392,$936317682.00
200900A,812920,Photofinishing,123,$10542601.00
200700A,234120,Bridge and Tunnel Construction (1997 NAICS),86,$33812239.00
200900A,238110,Poured concrete foundation & structure contractors,185,$219437630.00
200900A,444120,Paint & wallpaper stores,76,$31635320.00
200700A,451211,Book stores,313,$125716653.00
201300A,721100,"Traveler accommodation (including hotels, motels, & bed & breakfast inns)",718,$1400300099.62
200700A,812112,Beauty salons,103,$6671282.00
201300A,485510,Charter bus industry,43,$25090756.00
201400A,484110,"General freight trucking, local",636,$229181774.00
201300A,211110,Oil & gas extraction,88,$165934267.55
200900A,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),828,$454912178.00
201300A,445210,Meat markets,149,$108295435.00
201000A,235210,Painting and Wall Covering Contractors (1997 NAICS),1906,$491368862.00
201300A,233320,Commercial and Institutional Building Construction (1997 NAICS),713,$963710899.38
200900A,447100,Gasoline stations (including convenience stores with gas),505,$2671236023.00
201400A,233320,Commercial and Institutional Building Construction (1997 NAICS),687,$998174351.47
201300A,532290,Other consumer goods rental,4134,$1096624423.04
201400A,115210,Support activities for animal production (including farriers),294,$1797693330.00
200800A,235310,Electrical Contractors (1997 NAICS),1686,$446421790.61
201000A,444130,Hardware stores,471,$614297946.00
201000A,541340,Drafting services,131,$2136476.00
201100A,445100,Grocery stores (including supermarkets & convenience stores without gas),1574,$5021197657.00
200700A,448190,Other Clothing Stores,439,$110399134.40
201400A,624200,"Community food & housing, & emergency & other relief services",96,$9407636.00
201300A,516110,Internet publishing & broadcasting,1023,$212044881.70
201100A,238110,Poured concrete foundation & structure contractors,218,$176810218.00
201400A,621510,Medical & diagnostic laboratories,559,$628854442.88
201000A,541330,Engineering services,1152,$596015432.81
201000A,,,188995,$39813151251.84
200900A,541800,Advertising & related services,1597,$1106478303.54
200600A,454310,Fuel dealers,52,$210913773.00
201300A,531390,Other activities related to real estate,1000,$208250030.10
200700A,812920,Photofinishing,100,$9819908.00
200800A,621900,"Other ambulatory health care services (including ambulance services, blood, & organ banks)",125,$1668355536.40
201400A,235910,Structural Steel Erection Contractors (1997 NAICS),124,$94454792.00
201300A,811420,Reupholstery & furniture repair,232,$23911439.00
201100A,451220,"Prerecorded tape, compact disc, & record stores",323,$71599344.00
201400A,424800,"Beer, wine, & distilled alcoholic beverage",114,$77423426.78
200600A,541213,Tax preparation services,721,$116372011.00
201200A,532220,Formal wear & costume rental,142,$26218850.00
201000A,519100,Other information services (including news syndicates and libraries),474,$102661286.94
201100A,561110,Office administrative services,1494,$782369331.74
200600A,722211,Limited-service eating places,365,$106321226.00
200900A,454210,Vending machine operators,269,$61443401.00
200600A,541310,Architectural services,887,$438811691.59
201400A,441221,Motorcycle dealers,51,$17024031.00
201300A,621320,Offices of optometrists,180,$61031026.00
200800A,622000,Hospitals,143,$907055215.00
201300A,442200,Home furnishings stores,824,$630699742.77
200700A,622000,Hospitals,132,$791057551.00
201200A,487000,Scenic & sightseeing transportation,216,$13172149.00
201400A,332000,Fabricated metal product mfg.,316,$469695694.00
201400A,532210,Consumer electronics & appliances rental,632,$516349233.00
201300A,235110,"Plumbing, Heating, and Air-Conditioning Contractors (1997 NAICS)",2797,$633703796.10
201100A,423800,"Machinery, equipment, & supplies",845,$821656093.07
201000A,233210,Single Family Housing Construction (1997 NAICS),6703,$1385524405.78
200700A,561110,Office administrative services,1094,$497983004.02
201100A,448320,Luggage & leather goods stores,107,$21237897.00
201200A,485410,School & employee bus transportation,20,$25300.00
200600A,311400,Fruit & vegetable preserving & speciality food mfg.,37,$37673767.00
201100A,621399,Offices of all other miscellaneous health practitioners,2627,$889560343.94
201100A,722110,Full-service restaurants,6453,$3828383687.02
201000A,513322,Cellular and Other Wireless Telecommunications,14,$1177527295.00
200700A,448110,Men's clothing stores,314,$80223279.00
201100A,621400,Outpatient  care centers,403,$242157485.22
200800A,522100,"Depository credit intermediation (including commercial banking, savings institutions, & credit unions)",60,$7130427.00
201200A,541700,Scientific research & development services,271,$49949939.00
201200A,611000,"Educational services (including schools, colleges, & universities)",3301,$760630470.66
201300A,561410,Document preparation services,210,$15462991.49
201100A,522200,Nondepository credit intermediation (including sales financing & consumer lending),495,$160754662.39
201100A,485990,Other transit & ground passenger transportation,233,$5179104.00
200700A,532290,Other consumer goods rental,2179,$338318201.76
201400A,448130,Children's & infants' clothing stores,280,$76148156.00
200800A,315000,Apparel mfg.,2608,$759769018.00
200500A,423600,Electrical & electronic goods,1075,$1737157755.45
201100A,541910,Market research & public opinion polling,315,$177003826.00
201200A,624100,Individual & family services,1002,$69100949.00
201100A,484200,Specialized freight trucking (including household moving vans),134,$3215682.00
201300A,448140,Family clothing stores,1255,$646090014.88
201400A,339900,Other miscellaneous mfg.,2133,$702917776.74
201400A,445210,Meat markets,160,$137513539.00
201400A,488000,Support activities for transportation (including motor vehicle towing),1130,$1330802736.02
201300A,331000,Primary metal mfg.,76,$18112417.00
200800A,,,231867,$52005699874.44
200600A,238340,Tile & terrazzo contractors,215,$46250498.00
200500A,561440,Collection agencies,79,$59620622.00
201100A,512200,Sound recording industries,1135,$274867372.90
201300A,314000,Textile product mills,621,$366225083.00
201200A,621310,Offices of chiropractors,683,$84642482.62
200800A,234120,Bridge and Tunnel Construction (1997 NAICS),89,$39931620.08
200900A,424100,Paper & paper products,231,$316819677.00
200800A,423700,"Hardware, & plumbing & heating equipment  & supplies",162,$365970680.52
200800A,451220,"Prerecorded tape, compact disc, & record stores",337,$158318368.00
201200A,448150,Clothing accessories stores,1038,$279558482.77
200800A,812910,Pet care (except veterinary) services,203,$14936979.76
201300A,448310,Jewelry stores,1384,$310956768.42
201000A,812111,Barber shops,2587,$74289415.93
201100A,211110,Oil & gas extraction,70,$109461328.00
200600A,522200,Nondepository credit intermediation (including sales financing & consumer lending),434,$201757088.22
200900A,519100,Other information services (including news syndicates and libraries),406,$99661704.00
201000A,311800,Bakeries & tortilla mfg.,465,$107665109.00
201200A,541380,Testing laboratories,82,$28152249.00
200700A,511000,Publishing industries (except Internet),189,$170208366.00
200900A,811120,"Automotive body, paint, interior, & glass repair",381,$95042247.00
201100A,453310,Used merchandise stores,233,$31861360.00
201000A,517000,Telecommunications,189,$1284325194.00
200700A,451220,"Prerecorded tape, compact disc, & record stores",334,$148251335.22
201100A,531390,Other activities related to real estate,778,$138168188.76
200600A,621610,Home health care services,582,$86137347.00
200900A,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",6504,$3017460533.07
201000A,812920,Photofinishing,127,$8167897.00
200600A,423930,Recyclable materials,136,$235328492.00
201300A,441210,Recreational vehicle dealers (including motor home & travel trailer dealers),9,$601398.00
201300A,484110,"General freight trucking, local",726,$242808034.16
201200A,722410,Drinking places (alcoholic beverages),242,$61236501.00
200600A,541940,Veterinary services,176,$163825506.00
200600A,561600,Investigation & security services,466,$299268187.90
200600A,452000,General merchandise stores,3368,$2328627217.88
201200A,999999,Unclassified establishments (unable to classify),1751,$256317468.05
201300A,532100,Automotive equipment rental & leasing,399,$745623120.44
201300A,811410,Home & garden equipment & appliance repair & maintenance,335,$16187238.94
200700A,541510,Computer systems design & related services,1641,$688165627.42
200500A,561720,Janitorial services,3833,$162709238.21
200900A,488000,Support activities for transportation (including motor vehicle towing),946,$854406725.00
201000A,532210,Consumer electronics & appliances rental,669,$519467517.00
201000A,423940,"Jewelry, watch, precious stone, & precious metals",2279,$820813113.44
201300A,621610,Home health care services,3136,$242635342.52
200700A,115210,Support activities for animal production (including farriers),175,$17167647.00
200900A,234910,"Water, Sewer, and Pipeline Construction (1997 NAICS)",98,$40202205.00
200700A,446120,"Cosmetics, beauty supplies, & perfume stores",393,$146450848.27
200900A,541920,Photographic services,1971,$167195650.11
201400A,812320,Drycleaning & laundry services (except coin-operated) (including laundry & drycleaning drop-off & pickup sites),765,$207336013.00
200700A,324100,Petroleum & coal products mfg.,11,$5755807.00
200800A,445310,"Beer, wine & liquor stores",490,$150184885.00
201100A,561410,Document preparation services,174,$13332030.00
200700A,621510,Medical & diagnostic laboratories,248,$481736450.73
200600A,443112,"Radio, television, & other electronics stores",621,$367322328.47
201000A,812310,Coin-operated laundries & drycleaners,558,$81753601.42
200700A,484110,"General freight trucking, local",549,$168208181.00
200800A,621399,Offices of all other miscellaneous health practitioners,2420,$716905718.00
201200A,518210,"Data processing, hosting, & related services",761,$636813650.00
201000A,722300,Special food services (including food service contractors & caterers),1056,$146373455.00
201000A,444120,Paint & wallpaper stores,79,$25346956.00
201400A,531210,Offices of real estate agents & brokers,2087,$900224379.50
200500A,442200,Home furnishings stores,637,$621846380.55
201200A,519100,Other information services (including news syndicates and libraries),644,$158918252.06
201000A,532230,Video tape & disc rental,228,$10707282.00
200500A,235610,"Roofing, Siding, and Sheet Metal Contractors (1997 NAICS)",255,$96728786.00
201400A,512100,Motion picture & video industries (except video rental),9050,$8437414177.76
201100A,451211,Book stores,431,$119503092.00
200600A,611000,"Educational services (including schools, colleges, & universities)",1592,$407108946.25
200700A,532100,Automotive equipment rental & leasing,252,$619388174.00
201400A,487000,Scenic & sightseeing transportation,243,$6868362.00
201100A,333000,Machinery mfg.,112,$83158700.00
200600A,448210,Shoe stores,347,$245433471.00
200500A,453220,"Gift, novelty, & souvenir stores",791,$134997756.63
201200A,339110,Medical equipment & supplies mfg.,415,$180298195.00
200600A,518210,"Data processing, hosting, & related services",263,$262067307.00
201400A,711210,Spectator sports (including professional sports clubs & racetrack operations),711,$795118331.00
200600A,812920,Photofinishing,91,$9720641.00
201400A,561500,Travel arrangement & reservation services,6070,$810152474.20
201100A,233310,Manufacturing and Industrial Building Construction (1997 NAICS),164,$194592708.00
200900A,453310,Used merchandise stores,234,$36788162.00
201200A,424210,Drugs & druggists' sundries,247,$481498167.00
200500A,444190,Other building materials dealers,316,$1070130589.00
201000A,332000,Fabricated metal product mfg.,248,$322122801.00
200600A,425120,Wholesale trade agents & brokers,381,$511438595.22
200500A,333000,Machinery mfg.,32,$45094874.06
201200A,448310,Jewelry stores,1269,$255301886.96
200500A,518111,Internet service providers,48,$27073598.00
201100A,541214,Payroll services,82,$13459540.00
201000A,238340,Tile & terrazzo contractors,253,$40914367.00
201300A,711210,Spectator sports (including professional sports clubs & racetrack operations),733,$683794285.00
200500A,621340,"Offices of physical, occupational & speech therapists, & audiologists",164,$20545876.00
201400A,561740,Carpet & upholstery cleaning services,592,$41670793.00
200800A,454390,"Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)",2733,$1096545220.87
201000A,235610,"Roofing, Siding, and Sheet Metal Contractors (1997 NAICS)",434,$162425667.00
201300A,518111,Internet service providers,266,$640389337.00
200900A,722211,Limited-service eating places,866,$249590288.00
200800A,235110,"Plumbing, Heating, and Air-Conditioning Contractors (1997 NAICS)",1788,$541343826.50
201200A,423930,Recyclable materials,339,$309177577.00
201000A,235930,Excavation Contractors (1997 NAICS),58,$34629510.18
201400A,445230,Fruit & vegetable markets,495,$1474275368.00
201100A,485210,Interurban & rural bus transportation,29,$24341096.00
200500A,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),353,$311016963.48
200600A,541510,Computer systems design & related services,1397,$493009189.57
200900A,425110,Business to business electronic markets,52,$15206982.00
200900A,518111,Internet service providers,166,$131908560.00
201100A,325900,Other chemical products & preparation mfg.,102,$47057472.10
200900A,517000,Telecommunications,188,$1103852976.00
200500A,623000,Nursing & residential care facilities,323,$298145618.00
200800A,339110,Medical equipment & supplies mfg.,251,$106325704.00
200500A,423800,"Machinery, equipment, & supplies",706,$851736303.00
201300A,444110,Home centers,49,$165457916.00
201200A,443120,Computer & software stores,1043,$1356334169.00
201100A,454111,Electronic shopping,359,$25208376.39
201000A,441210,Recreational vehicle dealers (including motor home & travel trailer dealers),9,$729737.00
201400A,541930,Translation & interpretation services,264,$38909923.00
200700A,424940,Tobacco & tobacco products,158,$86434208.00
201200A,523120,Securities brokers,152,$716256077.00
201100A,621900,"Other ambulatory health care services (including ambulance services, blood, & organ banks)",290,$1705529595.00
200900A,541400,"Specialized design services (including interior, industrial, graphic, & fashion design)",3415,$299482054.73
201200A,484110,"General freight trucking, local",688,$221991213.00
201300A,561730,Landscaping services,3603,$121213877.10
201000A,323100,Printing & related support activities,1008,$459553221.54
200900A,624410,Child day care services,1578,$126679962.00
200800A,541940,Veterinary services,192,$198938241.00
200500A,235210,Painting and Wall Covering Contractors (1997 NAICS),1652,$400845873.78
201100A,523120,Securities brokers,140,$722619775.00
201000A,313000,Textile mills,92,$27781077.92
200900A,621900,"Other ambulatory health care services (including ambulance services, blood, & organ banks)",170,$1680940351.00
200800A,524210,Insurance agencies & brokerages,841,$468853650.00
200500A,561300,Employment services,6202,$1189510333.60
201100A,423400,Professional & commercial equipment & supplies,1070,$1685171350.00
201200A,811420,Reupholstery & furniture repair,224,$18519189.00
200500A,492000,Couriers & messengers,233,$3180923.00
200600A,561710,Exterminating & pest control services,165,$54914285.00
201200A,531310,Real estate property managers,3168,$1000371515.14
201300A,451220,"Prerecorded tape, compact disc, & record stores",307,$29829897.00
200700A,813000,"Religious, grantmaking, civic, professional, & similar organizations",81,$1735800.00
200900A,621340,"Offices of physical, occupational & speech therapists, & audiologists",568,$45359254.00
201000A,522200,Nondepository credit intermediation (including sales financing & consumer lending),517,$136445639.00
201400A,524210,Insurance agencies & brokerages,1079,$561851563.74
201300A,531310,Real estate property managers,3436,$1197421912.61
200900A,812330,Linen & uniform supply,36,$107445838.00
200500A,454310,Fuel dealers,47,$218445645.19
201100A,311400,Fruit & vegetable preserving & speciality food mfg.,214,$91792399.00
200500A,115210,Support activities for animal production (including farriers),128,$13350971.00
201200A,624410,Child day care services,1934,$144135024.00
201100A,531210,Offices of real estate agents & brokers,1951,$704419838.84
200900A,512100,Motion picture & video industries (except video rental),5844,$7808841471.96
201300A,531210,Offices of real estate agents & brokers,2138,$868112406.03
200900A,711210,Spectator sports (including professional sports clubs & racetrack operations),311,$625456227.36
201400A,325100,Basic chemical mfg.,36,$17874657.31
201400A,561720,Janitorial services,9961,$482604897.86
201200A,454210,Vending machine operators,323,$54861697.00
201100A,532100,Automotive equipment rental & leasing,336,$569746666.00
200700A,621400,Outpatient  care centers,249,$154826756.00
200700A,812111,Barber shops,1842,$45729032.55
200500A,238340,Tile & terrazzo contractors,195,$40823183.78
201400A,532100,Automotive equipment rental & leasing,386,$771763644.00
200500A,561710,Exterminating & pest control services,150,$48376470.00
200600A,451120,"Hobby, toy, & game stores",153,$87605744.00
201000A,448320,Luggage & leather goods stores,97,$18411812.50
201200A,424800,"Beer, wine, & distilled alcoholic beverage",103,$49158019.20
201000A,811110,Automotive mechanical & electrical repair & maintenance,1414,$109432379.00
201000A,233220,Multifamily Housing Construction (1997 NAICS),877,$1501963428.49
201400A,423500,Metal & mineral (except petroleum),253,$311737601.00
201000A,531320,Offices of real estate appraisers,123,$8123014.80
200800A,621320,Offices of optometrists,132,$41449726.00
201400A,541990,"All other professional, scientific, & technical services",10416,$1578387612.45
201100A,561730,Landscaping services,3159,$104579586.50
200800A,487000,Scenic & sightseeing transportation,103,$8801353.00
201100A,532230,Video tape & disc rental,249,$15238954.00
201200A,812210,Funeral homes & funeral services,59,$20141799.00
201400A,812330,Linen & uniform supply,56,$89170252.00
201200A,446110,Pharmacies & drug stores,531,$3299684965.54
200900A,512200,Sound recording industries,918,$270432030.64
200900A,522200,Nondepository credit intermediation (including sales financing & consumer lending),513,$117797156.00
201100A,624200,"Community food & housing, & emergency & other relief services",93,$1339933.00
201300A,453920,Art dealers,964,$63361124.50
200500A,811490,Other personal &  household goods repair & maintenance,437,$14486414.00
201100A,621320,Offices of optometrists,175,$46543554.00
200500A,621400,Outpatient  care centers,261,$113455511.69
200700A,711510,"Independent artists, writers, & performers",5266,$385763625.12
201400A,424950,"Paint, varnish, & supplies",59,$100758979.00
201400A,712100,"Museums, historical sites, & similar institutions",13,$10181453.97
200700A,448140,Family clothing stores,631,$428573838.00
200900A,211110,Oil & gas extraction,57,$82222166.00
201400A,441110,New car dealers,374,$4271806436.00
200900A,623000,Nursing & residential care facilities,432,$527880851.00
200900A,541990,"All other professional, scientific, & technical services",6464,$777901741.54
201400A,424700,Petroleum & petroleum products,64,$969100587.00
201000A,523900,Other financial investment activities (including investment advice),1834,$5075303254.00
201100A,524210,Insurance agencies & brokerages,989,$420708321.10
200800A,451140,Musical instrument & supplies stores,176,$61843617.00
201400A,541310,Architectural services,1220,$653917131.00
200900A,541330,Engineering services,1090,$625879062.20
200700A,235110,"Plumbing, Heating, and Air-Conditioning Contractors (1997 NAICS)",1572,$485824530.75
201000A,484110,"General freight trucking, local",647,$194546164.30
200800A,999999,Unclassified establishments (unable to classify),950,$230846603.00
200700A,811210,Electronic & precision equipment repair & maintenance,186,$20087745.00
200900A,621610,Home health care services,1520,$178219972.80
200800A,621330,Offices of mental health practitioners (except physicians),465,$29165046.00
201000A,485410,School & employee bus transportation,18,$85.00
200900A,454111,Electronic shopping,308,$30628193.52
200600A,541214,Payroll services,35,$9729393.38
201100A,485300,Taxi & limousine service,863,$4301092.00
201200A,235610,"Roofing, Siding, and Sheet Metal Contractors (1997 NAICS)",525,$147721709.00
201400A,541940,Veterinary services,267,$242337436.00
201300A,721310,Rooming & boarding houses,322,$377317315.00
201000A,425120,Wholesale trade agents & brokers,1377,$750036578.09
201300A,445230,Fruit & vegetable markets,541,$1392899418.00
201300A,234910,"Water, Sewer, and Pipeline Construction (1997 NAICS)",132,$40076130.00
200500A,452000,General merchandise stores,3127,$2089758624.61
201000A,454390,"Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)",3293,$1132202734.06
200600A,811490,Other personal &  household goods repair & maintenance,568,$18866604.00
201000A,523140,Commodity contracts brokers,30,$29462913.00
201400A,234110,Highway and Street Construction (1997 NAICS),43,$178309582.00
200600A,812113,Nail salons,1495,$46501063.20
200800A,811310,Commercial & industrial machinery & equipment (except automotive & electronic) repair & maintenance,198,$68194658.56
200500A,234110,Highway and Street Construction (1997 NAICS),30,$62394606.34
201300A,541910,Market research & public opinion polling,420,$225095435.72
200900A,442110,Furniture stores,1105,$601627138.33
201100A,445210,Meat markets,105,$43838559.00
200700A,424300,"Apparel, piece goods, & notions",3143,$2669866514.44
201000A,235310,Electrical Contractors (1997 NAICS),2095,$491261091.08
201200A,233220,Multifamily Housing Construction (1997 NAICS),900,$977168879.84
200700A,448120,Women's clothing stores,209,$46220889.00
200800A,312000,Beverage & tobacco product mfg.,18,$1059599.00
201000A,561730,Landscaping services,2993,$101961409.58
200500A,424920,"Books, periodicals, & newspapers",331,$775327798.40
201400A,424930,"Flower, nursery stock, & florists' supplies",555,$239069304.00
200500A,511000,Publishing industries (except Internet),130,$160759425.00
201100A,523140,Commodity contracts brokers,30,$26554456.00
201100A,425120,Wholesale trade agents & brokers,1486,$1055743039.82
200600A,424950,"Paint, varnish, & supplies",77,$140794195.00
201100A,441110,New car dealers,381,$3142601360.79
201400A,444110,Home centers,50,$165096117.12
201200A,442110,Furniture stores,1072,$545402549.00
201300A,519100,Other information services (including news syndicates and libraries),706,$167385014.02
200900A,485410,School & employee bus transportation,17,$0.00
201000A,722410,Drinking places (alcoholic beverages),237,$60675699.00
200500A,237210,Land subdivision,118,$433802881.00
200900A,484110,"General freight trucking, local",624,$204122241.00
200700A,331000,Primary metal mfg.,24,$15380580.00
200500A,339110,Medical equipment & supplies mfg.,156,$102730901.57
200800A,423600,Electrical & electronic goods,1157,$2010034484.00
200500A,235420,"Drywall, Plastering, Acoustical, and Insulation Contractors (1997 NAICS)",270,$134820697.59
201100A,423600,Electrical & electronic goods,1182,$1801769506.00
201300A,311600,Animal Slaughtering and Processing,17,$4921999.00
201200A,453310,Used merchandise stores,236,$37155588.00
200900A,423920,Toy & hobby goods & supplies,232,$124386083.00
201300A,541340,Drafting services,175,$4743126.00
201200A,621320,Offices of optometrists,176,$56629724.30
200800A,453310,Used merchandise stores,233,$37156852.00
200700A,523120,Securities brokers,129,$1193701729.00
201100A,424950,"Paint, varnish, & supplies",69,$101961901.00
201100A,812930,Parking lots & garages,1523,$461690268.00
201400A,446110,Pharmacies & drug stores,538,$3639487151.00
201400A,425120,Wholesale trade agents & brokers,1755,$1496575894.44
200700A,811490,Other personal &  household goods repair & maintenance,714,$22657005.00
200900A,561710,Exterminating & pest control services,192,$55148517.00
200800A,423920,Toy & hobby goods & supplies,213,$126414378.00
201300A,454111,Electronic shopping,466,$31236179.27
200500A,541940,Veterinary services,177,$146472964.23
200600A,339900,Other miscellaneous mfg.,423,$103845061.00
200500A,424100,Paper & paper products,210,$323389819.00
200500A,531100,Lessors of real estate (including mini warehouses & self-storage units),27659,$6777538974.52
201400A,446130,Optical goods stores,212,$127327727.00
200800A,334000,Computer & electronic product mfg.,698,$263211511.00
201100A,424400,Grocery & related products,1447,$5491397076.48
201000A,235420,"Drywall, Plastering, Acoustical, and Insulation Contractors (1997 NAICS)",442,$245634628.00
201300A,511000,Publishing industries (except Internet),326,$203516912.00
200600A,235420,"Drywall, Plastering, Acoustical, and Insulation Contractors (1997 NAICS)",301,$194264204.00
201400A,561210,Facilities support (management) services,187,$88746542.00
201000A,315000,Apparel mfg.,3574,$805499535.55
200800A,541700,Scientific research & development services,155,$16371447.00
200700A,448310,Jewelry stores,728,$160689347.00
201100A,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",734,$241733717.85
200800A,711410,"Agents & managers for artists, athletes, entertainers, & other public figures",596,$136873290.40
201300A,443111,Household appliance stores,444,$175504551.34
200600A,811410,Home & garden equipment & appliance repair & maintenance,124,$4128214.00
200800A,541510,Computer systems design & related services,1852,$639978621.19
201400A,541211,Offices of certified public accountants,784,$530171917.00
201000A,812210,Funeral homes & funeral services,56,$23184729.00
200900A,235310,Electrical Contractors (1997 NAICS),1925,$486260116.95
201000A,423200,Furniture &  home furnishing,448,$176695530.00
200700A,624100,Individual & family services,573,$28456446.00
