Client Prefix,Client First Name,Client Middle Name,Client Last Name,Client Suffix,Lobbying Firm,Registration Year,Date Representation Began,Date Terminated,Date Registered,Client Street Address,Client Street Address 2,Client City,Client State,Client Zip,Client Zip+4,Client Area Code,Client Telephone,Client Telephone Ext,Client Email,Client Alt Area Code,Client Alt Telephone,Client Alt Telephone Ext,Client Fax Area Code,Client Fax Number,Client Website,City Agencies,Lobbying Firm Registration Form
,,,"Pacific Charter School Development, Inc.",,"Michael S. Woodward, Attorney",2014,03/01/2014,12/31/2014,03/19/2014,"811 W. 7th Street,  Suite 310",,Los Angeles,CA,90017,,213,542-4700,,,,,,213,542-4701,www.pacificcharter.org,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3039
,,,Porter Ranch Development Company,,"Michael S. Woodward, Attorney",2014,03/01/2014,12/31/2014,03/19/2014,11280 Corbin Ave,,Los Angeles,CA,91326,,818,332-7248,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3039
,,,Altria Client Services Inc.,,Morris and Swanson,2014,01/07/2014,12/31/2014,01/07/2014,"1415 L Street, Suite 150",,Sacramento,CA,95814,,800,626-5403,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3096
,,,Latino Coalition of Los Angeles (Raul Claros),,"3D Networks Corp., Inc.",2014,01/02/2014,12/31/2014,04/22/2014,1268 West 23rd Street #7,,Los Angeles,CA,90007,,310,844.5591,,,,,,,,,"City Attorney, Office of | City Council (incl. Districts and Committees) | Building and Safety | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3101
,,,Larchmont Bungalow,,"3D Networks Corp., Inc.",2014,01/23/2014,12/31/2014,04/22/2014,107 N. Larchmont Blvd.,,Los Angeles,CA,90004,,310,6505432,,,,,,,,,"City Council (incl. Districts and Committees) | Building and Safety | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3101
,,,Helping Employees Learn Prosperity (HELP),,"3D Networks Corp., Inc.",2014,01/23/2014,12/31/2014,04/22/2014,"8939 Sepulveda Blvd, #401",,Los Angeles,CA,90045,,310,338-8155,,,,,,310,338-8161,,"City Attorney, Office of | City Council (incl. Districts and Committees) | Chief Administrative Officer (CAO)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3101
,,,"PCCP, LLC",,"PCCP, LLC",2014,01/01/2014,12/31/2014,04/25/2014,222 N. Sepulveda Blvd.,Ste. 2222,El Segundo,CA,90245,,310,414-7870,,gwilley@pccpllc.com,310,414-2004,,310,414-7872,www.pccpllc.com,Fire and Police Pension | LA City Employees' Retirement System (LACERS) | Water & Power (DWP),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3114
,,,"Grand Pacific 7-28, LLC",,Central City Development Group,2014,01/01/2014,12/31/2014,01/30/2014,"206 W 6th Street, Suite 100",,Los Angeles,CA,90014,,213,623-1464,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3116
,,,"East River Group, LLC",,Central City Development Group,2014,02/01/2014,12/31/2014,04/25/2014,"206 5th Street, #100",,LA,CA,90014,,213,623-1464,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3116
,,,Elem Tree Investment,,Central City Development Group,2014,03/01/2014,12/31/2014,04/25/2014,"15260 Ventura Blvd., #620",,Sherman Oaks,CA,91403,,818,905-7200,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3116
,,,"Audax Management Company, LLC and its subsidiary Audax Management Company (NY), LLC",,"Audax Management Company, LLC and its subsidiary Audax Management Company (NY), LLC",2014,01/01/2014,12/31/2014,01/03/2014,101 Huntington Avenue,,Boston,MA,02199,,617,8591500,,dawn@olsonhagel.com,,,,617,8591600,,Fire and Police Pension | LA City Employees' Retirement System (LACERS) | Water & Power (DWP),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3117
,,,So Cal Gas Co (a Sempra Energy Utility),,So Cal Gas Co (a Sempra Energy Utility),2014,01/01/2014,12/31/2014,01/09/2014,555 W Fifth St,GT26E2,Los Angeles,CA,90013,1011,619,696-4919,,twright2@Sempra.com,213,244-2545,,619,696-2511,www.socalgas.com,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3127
,,,Southland Regional Association of Realtors (SRAR),,Mel Wilson,2014,01/27/2014,12/31/2014,04/28/2014,7232 Balboa Blvd,,Van Nuys,CA,91406,,818,786-2110,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3130
,,,University of Southern California ,,University of Southern California ,2014,01/06/2014,12/31/2014,01/06/2014,3551 Trousdale Parkway,,Los Angeles,CA,90089,0018,213,740-5371,,vpgr@usc.edu,213,743-2231,,213,740-8502,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3161
,,,SAE Media School,,Saucedo Group,2014,04/29/2014,12/31/2014,04/29/2014,"215 Peachtree Street, Suite 300",,Atlanta,GA,30303,,404,247-3529,,BBuente@1010dev.org,,,,,,www.1010dev.org,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3167
,,,Barlow Respiratory Hospital,,Paul Hastings LLP,2014,01/01/2014,12/31/2014,01/07/2014,2000 Stadium Way,null,Los Angeles,CA,90035,,213,683-5668,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3172
,,,Cedars-Sinai Medical Center,,Paul Hastings LLP,2014,01/01/2014,12/31/2014,01/07/2014,"6500 Wilshire Boulevard, Suite 700",,Los Angeles,CA,90048,,323,866 7800,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3172
,,,Hanjin International Corporation ,,Paul Hastings LLP,2014,01/01/2014,12/31/2014,01/07/2014,930 Willshire Blvd.,null,Los Angeles,CA,90017,,213,6123917,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3172
,,,Harvard-Westlake,,Paul Hastings LLP,2014,01/01/2014,03/21/2014,01/07/2014,3700 Coldwater Canyon Avenue,null,Los Angeles,CA,91604,,818,487-6662,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3172
,,,J. Paul Getty Trust,,Paul Hastings LLP,2014,01/01/2014,12/31/2014,01/07/2014,1200 Getty Center Drive,,Los Angeles,CA,90049,1678,310,440-6483,,,,,,,,,"Building and Safety | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3172
,,,Kilroy Realty Corporation,,Paul Hastings LLP,2014,01/01/2014,12/31/2014,01/07/2014,12200 West Olympic Blvd.,,Los Angeles,CA,90064,,310,481-8400,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3172
,,,PH LA Mart LLC,,Paul Hastings LLP,2014,01/01/2014,03/21/2014,02/07/2014,1933 S. Broadway,,Los Angeles,CA,90007,,818,939-9205,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3172
,,,"Plotkin Declaration of Trust dated May 23, 1994",,Paul Hastings LLP,2014,01/01/2014,12/31/2014,01/07/2014,4100 Del Rey Avenue,null,Marina del Rey,CA,90292,,310,306-1100,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3172
,Carl W.,,Robertson,,Paul Hastings LLP,2014,01/01/2014,12/31/2014,01/07/2014,910 N. Stone Canyon Road,null,Los Angeles,CA,90077,2914,310,395-7811,,,,,,,,,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3172
,,,Townscape Partners,,Paul Hastings LLP,2014,01/01/2014,12/31/2014,01/07/2014,PO Box 10506,,Beverly Hills,CA,90213,,310,285-7081,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3172
,,,"Greenland US Holding, Inc.",,Paul Hastings LLP,2014,01/01/2014,12/31/2014,04/30/2014,777 S. Figueroa Street,Suite 4650,Los Angeles,CA,90017,,949,903-2719,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3172
,,,First Wind,,"Quevedo Group, The",2014,02/01/2014,12/31/2014,04/30/2014,"179 Lincoln Street, Suite 500",,Boston,MA,02111,,617,960-2888,,,,,,,,,City Council (incl. Districts and Committees) | Water & Power (DWP),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3173
,,,Sierra Canyon School,,Law Office of Lesa A. Slaughter,2014,01/03/2014,12/31/2014,04/30/2014,20801 Rinaldi Street,,Chatsworth,CA,91311,,818,882,8121,,,,,818,534-3162,www.sierracanyonschool.org,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3174
Mr.,Keat,,Bollenbach,,Spindler Engineering CP,2014,03/31/2014,12/31/2014,04/30/2014,"2029 Century Park East, Suite 3500",,Los Angeles,CA,90067,,310,278-1076,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2906
,,,AlliedBarton Security Services,,The CrisCom Company,2014,01/21/2014,05/09/2014,01/21/2014,765 The City Drive South,Suite 150,Orange,CA,92868,,714,260-0801,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3192
,,,Duncan Solutions,,The CrisCom Company,2014,01/21/2014,12/31/2014,01/21/2014,633 W. Wisconsin Avenue,Suite 1600,Milwaukee,WI,53203,,877,577-3632,,,414,847-6773,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3192
,,,Lanier Parking Solutions,,The CrisCom Company,2014,01/21/2014,12/31/2014,01/21/2014,2600 Harris Tower,"233 Peachtree Street, NE",Atlanta,GA,30303,,404,881-6076,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3192
,,,Burlington Northern Santa FE Corporation,,Consensus Inc.,2014,01/01/2014,12/31/2014,01/28/2014,P.O. Box 961057,,Forth Worth,TX,76161,0057,310,231,5583,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3206
,,,M. David Paul & Associates,,Consensus Inc.,2014,01/01/2014,12/31/2014,01/28/2014,233 Wilshire Blvd.,Suite 990,Santa Monica,CA,90401,,310,393-9653,,jennifer@mdpa.com,,,,,,www.mdpa.com,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3206
,,,"Philena Property Management, LLC",,Consensus Inc.,2014,01/01/2014,12/31/2014,01/28/2014,12101 W. Olympic Blvd,,Los Angeles,CA,90064,,310,826-3879,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3206
,,,Pacific Investment Management Company LLC,,Pacific Investment Management Company LLC,2014,01/01/2014,12/31/2014,01/27/2014,650 Newport Center Drive,,Newport Beach,CA,92660,,949,720-7769,,zephram.yowell@pimco.com,949,720-7447,,,,www.pimco.com,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3207
,,,SunEdison,,Curt Pringle & Associates,2014,01/23/2014,12/31/2014,01/23/2014,"44 Montgomery Street, Suite 2200",,San Francisco,CA,94104,,714,455-9280,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3221
,,,Warburg Pincus LLC,,Warburg Pincus LLC,2014,01/01/2014,12/31/2014,01/15/2014,450 Lexington Avenue,,New York,NY,10017,,212,878-0600,,lora.giampetruzzi@warburgpincus.com,,,,,,,Fire and Police Pension | LA City Employees' Retirement System (LACERS) | Water & Power (DWP),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3228
,,,"The Jordan Company, LP",,"The Jordan Company, LP",2014,01/01/2014,12/31/2014,01/03/2014,"399 Park Avenue, 30th Floor",,New York ,NY,10022,,212,572-0800,,kcustar@thejordancompany.com,,,,212,755-5263,,Fire and Police Pension | LA City Employees' Retirement System (LACERS),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3230
,,,"Attucks Asset Management, LLC",,"Attucks Asset Management, LLC",2014,01/17/2014,06/09/2014,01/17/2014,321 North Clark Street,Suite 1450,Chicago,IL,60654,,312,422-9900,,KWickliffe@attucksfunds.com,913,312-8081,,312,422-9901,attucksfunds.com,Fire and Police Pension | LA City Employees' Retirement System (LACERS),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3234
,,,"Parking Concepts, Inc.",,"Parker, Milliken, Clark, O'Hara & Samuelian, APC",2014,03/25/2014,06/10/2014,04/03/2014,1801 South Georgia Street ,,Los Angeles,CA,90015,,213,746-5764,,,,,,,,,"Mayor, Office of | City Attorney, Office of | Controller, Office of | City Council (incl. Districts and Committees) | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3235
,,,Liberty Hill Foundation ,,Colibri Strategies,2014,01/01/2014,12/31/2014,01/22/2014,"6420 Wilshire Blvd., Ste. 700",,Los Angeles,CA,90048,,323,556-7200,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3239
,,,Los Angeles Neighborhood Land Trust,,Colibri Strategies,2014,04/16/2014,12/31/2014,06/30/2014,"315 W. 9th Street, Suite 950",,Los Angeles,CA,90015,,213,572-0188,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3239
,,,Liberty Hill Foundation ,,Donald R. Spivack,2014,01/01/2014,12/31/2014,01/21/2014,"6420 Wilshire Blvd., Ste. 700",,Los Angeles,CA,90048,,323,556-7200,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3240
,,,Los Angeles Neighborhood Land Trust,,Donald R. Spivack,2014,04/16/2014,12/31/2014,06/30/2014,"315 W. 9th Street, Suite 950",,Los Angeles,CA,90015,,213,572-0188,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3240
,,,SunPower Corporation,,"Riverview Capital Investments, Inc.",2014,01/01/2014,06/30/2014,01/31/2014,1414 Harbor Way South,,Richmond,CA,94804,,510,540-0550,,,,,,,,www.sunpowercorp.com,"Mayor, Office of | City Council (incl. Districts and Committees) | Water & Power (DWP)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3241
,,,Center for Biological Diversity,,Center for Biological Diversity,2014,07/01/2014,12/31/2014,07/08/2014,351 California St.,Suite 600,San Francisco,CA,94104,,415,436-9682,333,hkretzmann@biologicaldiversity.org,,,,415,436-9683,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3250
,,,Whole Foods Market,,"TMG Solutions, Inc",2014,01/01/2014,12/31/2014,04/24/2014,P.O. Box 684786,,Austin,TX,78768,,512,542-0876,,,,,,,,,"ALL CITY AGENCIES | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3267
,,,"Honeywell International, Inc.",,"Honeywell International, Inc.",2014,01/27/2014,03/26/2014,01/27/2014,101 Constitution Avenue NW,Suite 500W,Washington,DC,20001,,202,662-2650,,skovit@stateandfed.com,,,,,,www.honeywell.com,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3272
,,,Napier Park Global Capital (US) LP,,Napier Park Global Capital (US) LP,2014,01/01/2014,12/31/2014,01/09/2014,"280 Park Avenue, 3rd Floor",,New York,NY,10017,,212,235-0717,,sonia.plata@napierparkglobal.com,,,,,,,Fire and Police Pension | LA City Employees' Retirement System (LACERS),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3275
,,,HNTB Corporation,,HNTB Corporation,2014,07/21/2014,12/31/2014,07/20/2014,"c/o 2350 Kerner Blvd., Suite 250",,San Rafael,CA,94901,,415,389-6800,,sscally@nmgovlaw.com,,,,415,388-6874,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3279
,,,Crown Castle International,,Strategic Government Affairs,2014,03/01/2014,12/31/2014,03/25/2014,"1220 Augusta Drive, #500",,Houston,TX,77057,,720,4029277,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3281
,,,Hewlett Packard Company,,Strategic Government Affairs,2014,01/01/2014,12/31/2014,01/13/2014,"3000 Hanover Street, MS 1050",,Palo Alto,CA,94304,,610,232-5382,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3281
,,,Landmark Aviation,,Strategic Government Affairs,2014,01/01/2014,12/31/2014,01/13/2014,3821 N. Liberty Street,,Winston-Salem,NC,27105,,336,777-6060,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3281
,,,"MultiState Associates, on behalf of DIRECTV Group, Inc.",,Strategic Government Affairs,2014,01/01/2014,12/31/2014,01/13/2014,"515 King Street, Suite 300",,Alexandria,VA,22314,,703,684-1110,,,,,,703,684-0717,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3281
,,,"MultiState Associates, on behalf of DISH Network, LLC",,Strategic Government Affairs,2014,01/01/2014,12/31/2014,01/13/2014,"515 King Street, Suite 300",,Alexandria,VA,22314,,703,684-1110,,,,,,703,684-0717,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3281
,,,"MultiState Associates, on behalf of Satellite Broadcasting and Communications Association",,Strategic Government Affairs,2014,01/01/2014,12/31/2014,01/13/2014,"515 King Street, Suite 300",,Alexandria,VA,22314,,703,684-1110,,,,,,703,684-0717,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3281
,,,NextEra Energy Resources,,Strategic Government Affairs,2014,01/01/2014,12/31/2014,01/13/2014,700 Universe Blvd,,Juno Beach,FL,33408,,510,898-1847,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3281
,,,Recology,,Strategic Government Affairs,2014,01/01/2014,12/31/2014,01/13/2014,"50 California Street, 24th Floor",,San Francisco,CA,94111,9796,415,875-1127,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3281
,,,Southwest Airlines Co,,Strategic Government Affairs,2014,01/01/2014,12/31/2014,01/13/2014,PO Box 36611,,Dallas,TX,75235,,214,792-4174,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3281
,,,"Urban Motion, Inc., dba Segway LA",,Strategic Government Affairs,2014,04/01/2014,12/31/2014,04/07/2014,1660 Ocean Avenue,,Santa Monica,CA,90401,,310,395-1395,5000,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3281
,,,Skanska USA Civil West California Distirct,,Strategic Government Affairs,2014,07/01/2014,12/31/2014,07/21/2014,1995 Agua Mansa Road,,Riverside,CA,92509,,951,6845360,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3281
,,,Harvard-Westlake School,,Mayer Brown LLP,2014,03/21/2014,12/31/2014,04/18/2014,3700 Coldwater Canyon Avenue,,North Hollywood,CA,91604,,818,487-6662,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3285
,,,PH LA Mart LLC,,Mayer Brown LLP,2014,03/21/2014,12/31/2014,04/18/2014,3191 Casitas Avenue,Suite 130,Los Angeles,CA,90039,,323,300-3784,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3285
,,,Summit Media LLC,,Mayer Brown LLP,2014,01/01/2014,12/31/2014,01/21/2014,1445 5th Street,,Santa Monica,CA,90401,,310,576-6646,,,,,,,,,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3285
,Jason,,Teague,,Mayer Brown LLP,2014,04/07/2014,12/31/2014,04/18/2014,1410 South Main Street,,Los Angeles,CA,90291,,310,714-4828,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3285
,,,Rescore Hollywood LLC,,Mayer Brown LLP,2014,07/14/2014,12/31/2014,07/22/2014,11726 San Vicente Boulevard,Suite 235,Los Angeles,CA,90049,,310,544-5900,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3285
,,,iStar Financial,,Mayer Brown LLP,2014,07/14/2014,12/31/2014,07/22/2014,10960 Wilshire Boulevard,Suite 1260,Los Angeles,CA,90024,,949,567-2419,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3285
Ms.,Geraldine,,Hemmerling,,Allen Matkins Leck Gamble Mallory & Natsis LLP,2014,01/01/2014,12/31/2014,01/14/2014,369 N. Homewood Road,,Los Angeles,CA,90049,,310,4762785,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3286
,,,TOBAM North America,,TOBAM North America,2014,07/23/2014,12/31/2014,07/23/2014,41 Madison Avenue,,New York,NY,10010,,646,8291622,,francis.verpoucke@tobamusa.com,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3287
,,,"Barclays Capital, Inc",,"Barclays Capital, Inc",2014,03/03/2014,12/31/2014,02/10/2014,745 Seventh Avenue,,New York,NY,10019,,212,526-7000,,mioh@skadden.com,202,371-7704,,,,,"City Council (incl. Districts and Committees) | Airports, Los Angeles World (LAWA, LAX) | Convention Center | Finance, Office of | Harbor (Port of LA, POLA) | Public Works, Board of | Transportation (LADOT, DOT) | Water & Power (DWP)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3289
,,,UBS GLOBAL ASSET MANAGEMENT (AMERICAS) INC,,UBS GLOBAL ASSET MANAGEMENT (AMERICAS) INC,2014,01/01/2014,12/31/2014,01/30/2014,1285 Avenue of Americas,,New York,NY,10019,,212,882-5142,,jmannion@skadden.com,,,,212,882-5175,,Fire and Police Pension | LA City Employees' Retirement System (LACERS),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3295
,,,AECOM,,Ek & Ek,2014,01/01/2014,12/31/2014,01/28/2014,300 S. Flower Street,37th Floor,Los Angeles,CA,90071,,213,330-7200,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3299
,,,Airtel Plaza Hotel,,Ek & Ek,2014,01/01/2014,12/31/2014,01/28/2014,7277 Valjean Ave,,Van Nuys,CA,91406,,818,901-180,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3299
,,,American Airlines,,Ek & Ek,2014,01/01/2014,12/31/2014,01/28/2014,4333 Amon Carter Blvd,,Fort Worth,TX,76155,,817,931-916,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3299
,,,California Hotel & Lodging Association,,Ek & Ek,2014,02/05/2014,12/31/2014,02/10/2014,414 29th Street,,Sacramento,CA,95816,3211,916,554-2664,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3299
,,,CalPortland Cement,,Ek & Ek,2014,01/01/2014,12/31/2014,01/28/2014,2025 East Financial Way,,Glendora,CA,91741,,626,852-6254,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3299
,,,Crown Disposal,,Ek & Ek,2014,01/01/2014,12/31/2014,01/28/2014,9189 De Garmo Avenue,,Sun Valley,CA,91352,,818,941-7437,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3299
,,,DFS North America,,Ek & Ek,2014,01/01/2014,12/31/2014,01/28/2014,1580 Francisco St,,Torrance,CA,90501,,310,783-6600,,,,,,310,783-6601,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3299
,,,Exxon Mobil,,Ek & Ek,2014,01/01/2014,12/31/2014,01/28/2014,3700 W 190th St Tpt3,,Torrance,CA,90504,,310,212-1761,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3299
,,,Farmers Insurance,,Ek & Ek,2014,01/01/2014,12/31/2014,01/28/2014,4680 Wilshire Boulevard,,Los Angeles,CA,90010,,323,964-8879,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=3299
