APC,CPA,Geographic Area,Case Type,Case Number,Date Filed,Date Completed                                                                                                                                                                                                                                                 
C          , Central City                                                                , DOWNTOWN / WESTLAKE                                                                                  , ZA                                                           , ZA-2013-1721-CUB                                             , 07-Jun-2013 , 12-Nov-2013                                                                                                                                                           
H          , Wilmington - Harbor City                                                    , HARBOR                                                                                               , ZA                                                           , ZA-2012-2793-CUB-CU                                          , 10-Oct-2012 , 24-Dec-2013                                                                                                                                                           
NV         , Chatsworth - Porter Ranch                                                   , NORTH VALLEY                                                                                         , ZA                                                           , ZA-2013-1624-CUB-CU                                          , 31-May-2013 , 31-Dec-2013                                                                                                                                                           
C          , Wilshire                                                                    , UNKNOWN                                                                                              , ZA                                                           , ZA-2012-2879-ZV-ZAA-M1                                       , 19-Jun-2013 , 20-Jun-2013                                                                                                                                                           
W          , Westchester - Playa del Rey                                                 , COASTAL                                                                                              , ZA                                                           , ZA-2013-2118-CU-ZV                                           , 12-Jul-2013 , 20-Dec-2013                                                                                                                                                           
W          , Venice                                                                      , COASTAL                                                                                              , ZA                                                           , ZA-2013-1466-CDP                                             , 20-May-2013 , 23-Dec-2013                                                                                                                                                           
NV         , Sylmar                                                                      , IN TRANSITION                                                                                        , ZA                                                           , ZA-2001-2765-CU-ZV-PA2                                       , 14-May-2013 , 31-Dec-2013                                                                                                                                                           
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , ZA                                                           , ZA-2013-2162-ZV                                              , 16-Jul-2013 , 14-Nov-2013                                                                                                                                                           
E          , Northeast Los Angeles                                                       , UNKNOWN                                                                                              , ZA                                                           , ZA-2007-1239-CU-PA2                                          , 30-Nov-2012 , 07-Mar-2013                                                                                                                                                           
C          , Hollywood                                                                   , UNKNOWN                                                                                              , ZA                                                           , ZA-2005-7553-CU-PA1                                          , 30-Nov-2012 , 07-Mar-2013                                                                                                                                                           
SV         , Van Nuys - North Sherman Oaks                                               , SOUTH VALLEY                                                                                         , ZA                                                           , ZA-2013-1384-CUB                                             , 10-May-2013 , 24-Jul-2013                                                                                                                                                           
W          , Venice                                                                      , COASTAL                                                                                              , ZA                                                           , ZA-2011-995-ZAA                                              , 19-Apr-2011 , 15-Mar-2013                                                                                                                                                           
SV         , Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass                    , SOUTH VALLEY                                                                                         , ZA                                                           , ZA-2013-1960-CUB-CU                                          , 27-Jun-2013 , 29-Aug-2013                                                                                                                                                           
W          , Los Angeles International Airport                                           , WEST                                                                                                 , ZA                                                           , ZA-2013-947-MPA                                              , 02-Apr-2013 , 17-May-2013                                                                                                                                                           
SV         , Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass                    , IN TRANSITION                                                                                        , ZA                                                           , ZA-1995-724-CUB-PA5                                          , 02-Nov-2012 , 03-Jul-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , ZA                                                           , ZA-2013-2975-CUW                                             , 23-Sep-2013 , 20-Dec-2013                                                                                                                                                           
NV         , Chatsworth - Porter Ranch                                                   , NORTH VALLEY                                                                                         , ZA                                                           , ZA-2013-672-ZV                                               , 12-Mar-2013 , 28-Jun-2013                                                                                                                                                           
W          , Brentwood - Pacific Palisades                                               , WEST                                                                                                 , ZA                                                           , ZA-2013-3816-AIC                                             , 02-Dec-2013 , 02-Dec-2013                                                                                                                                                           
W          , Los Angeles International Airport                                           , WEST                                                                                                 , ZA                                                           , ZA-2013-3388-MPA                                             , 24-Oct-2013 , 06-Nov-2013                                                                                                                                                           
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , ZA                                                           , ZA-2011-2784-ZAD                                             , 27-Oct-2011 , 25-Jan-2013                                                                                                                                                           
CW         , Citywide                                                                    , CITYWIDE                                                                                             , ZA                                                           , ZA-2013-3104-ZAI                                             , 04-Oct-2013 , 30-Oct-2013                                                                                                                                                           
SV         , North Hollywood - Valley Village                                            , SOUTH VALLEY                                                                                         , ZA                                                           , ZA-2012-1309-ZAD                                             , 16-May-2012 , 09-Jan-2013                                                                                                                                                           
W          , Bel Air - Beverly Crest                                                     , WEST                                                                                                 , ZA                                                           , ZA-2012-1402-ZV-F-ZAD                                        , 24-May-2012 , 01-Nov-2013                                                                                                                                                           
C          , Central City                                                                , DOWNTOWN / WESTLAKE                                                                                  , ZA                                                           , ZA-2012-670-CUB                                              , 12-Mar-2012 , 25-Jun-2013                                                                                                                                                           
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , ZA                                                           , ZA-2012-1133-ZV                                              , 30-Apr-2012 , 05-Mar-2013                                                                                                                                                           
NV         , Northridge                                                                  , NORTH VALLEY                                                                                         , ZA                                                           , ZA-2012-1419-ZV-ZAA                                          , 29-May-2012 , 19-Apr-2013                                                                                                                                                           
NV         , Sun Valley - La Tuna Canyon                                                 , NORTH VALLEY                                                                                         , ZA                                                           , ZA-2012-330-ZV                                               , 08-Feb-2012 , 12-Jul-2013                                                                                                                                                           
SV         , North Hollywood - Valley Village                                            , SOUTH VALLEY                                                                                         , ZA                                                           , ZA-2012-2438-CU-ZAA                                          , 10-Sep-2012 , 13-Sep-2013                                                                                                                                                           
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , ZA                                                           , ZA-2012-3201-ZV-ZAA                                          , 19-Nov-2012 , 17-Jul-2013                                                                                                                                                           
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , ZA                                                           , ZA-2012-90-CUB-CUX                                           , 12-Jan-2012 , 21-Mar-2013                                                                                                                                                           
W          , Venice                                                                      , COASTAL                                                                                              , ZA                                                           , ZA-2012-698-ZAA                                              , 14-Mar-2012 , 17-May-2013                                                                                                                                                           
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , ZA                                                           , ZA-2012-530-CUB-CUX                                          , 28-Feb-2012 , 10-Jan-2013                                                                                                                                                           
W          , West Los Angeles                                                            , WEST                                                                                                 , ZA                                                           , ZA-2012-1376-ZAA                                             , 23-May-2012 , 07-Mar-2013                                                                                                                                                           
C          , Wilshire                                                                    , UNKNOWN                                                                                              , ZA                                                           , ZA-1987-1466-CUZ-PA2                                         , 17-Jan-2013 , 07-Jun-2013                                                                                                                                                           
SV         , Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass                    , SOUTH VALLEY                                                                                         , ZA                                                           , ZA-2013-926-CUB                                              , 01-Apr-2013 , 18-Sep-2013                                                                                                                                                           
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , ZA                                                           , ZA-2012-1517-CUB-SPP                                         , 11-Jun-2012 , 14-Jan-2013                                                                                                                                                           
E          , Northeast Los Angeles                                                       , EAST                                                                                                 , ZA                                                           , ZA-2013-619-CUB                                              , 06-Mar-2013 , 26-Jul-2013                                                                                                                                                           
W          , Venice                                                                      , COASTAL                                                                                              , ZA                                                           , ZA-2012-246-CDP-CUB                                          , 31-Jan-2012 , 20-Dec-2013                                                                                                                                                           
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , ZA                                                           , ZA-2012-724-CUB-ZV                                           , 16-Mar-2012 , 15-Feb-2013                                                                                                                                                           
NV         , Arleta - Pacoima                                                            , NORTH VALLEY                                                                                         , ZA                                                           , ZA-2012-1861-ZV                                              , 12-Jul-2012 , 29-Mar-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , ZA                                                           , ZA-2012-2213-CUB-CU                                          , 15-Aug-2012 , 15-Apr-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , ZA                                                           , ZA-2012-2462-CU-ZV-ZAA-F                                     , 12-Sep-2012 , 31-Jul-2013                                                                                                                                                           
SV         , Van Nuys - North Sherman Oaks                                               , SOUTH VALLEY                                                                                         , ZA                                                           , ZA-2012-2245-CUB                                             , 17-Aug-2012 , 30-Jan-2013                                                                                                                                                           
SV         , Reseda - West Van Nuys                                                      , SOUTH VALLEY                                                                                         , ZA                                                           , ZA-2012-2341-CUB                                             , 30-Aug-2012 , 13-Mar-2013                                                                                                                                                           
W          , Brentwood - Pacific Palisades                                               , WEST                                                                                                 , ZA                                                           , ZA-2012-2342-F                                               , 30-Aug-2012 , 07-Feb-2013                                                                                                                                                           
NV         , Arleta - Pacoima                                                            , NORTH VALLEY                                                                                         , ZA                                                           , ZA-2012-2346-ZV-ZAA                                          , 30-Aug-2012 , 03-Jul-2013                                                                                                                                                           
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , ZA                                                           , ZA-2012-2617-ZV                                              , 25-Sep-2012 , 01-Apr-2013                                                                                                                                                           
           ,                                                                             , UNKNOWN                                                                                              , ZA                                                           , ZA-1995-830-CUB-PA4                                          , 31-Oct-2012 , 25-Feb-2013                                                                                                                                                           
SV         , Reseda - West Van Nuys                                                      , IN TRANSITION                                                                                        , ZA                                                           , ZA-1994-549-CUZ-PA1                                          , 31-Oct-2012 , 05-Jul-2013                                                                                                                                                           
S          , West Adams - Baldwin Hills - Leimert                                        , SOUTH                                                                                                , ZA                                                           , ZA-2012-2399-CUB-CU                                          , 05-Sep-2012 , 21-Feb-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , ZA                                                           , ZA-2012-2982-CUB-CUX                                         , 25-Oct-2012 , 26-Jun-2013                                                                                                                                                           
E          , Northeast Los Angeles                                                       , EAST                                                                                                 , ZA                                                           , ZA-2012-1879-CU-ZV-ZAD-SPR                                   , 13-Jul-2012 , 16-Aug-2013                                                                                                                                                           
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , ZA                                                           , ZA-2012-2172-MPA                                             , 10-Aug-2012 , 25-Jan-2013                                                                                                                                                           
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , ZA                                                           , ZA-2012-3076-ZV-ZAA                                          , 02-Nov-2012 , 25-Sep-2013                                                                                                                                                           
SV         , Van Nuys - North Sherman Oaks                                               , SOUTH VALLEY                                                                                         , ZA                                                           , ZA-2012-3223-CU-CUB                                          , 20-Nov-2012 , 06-Sep-2013                                                                                                                                                           
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , ZA                                                           , ZA-2012-2299-ZV-ZAA                                          , 24-Aug-2012 , 22-Mar-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , ZA                                                           , ZA-2012-2388-CUB-CU                                          , 04-Sep-2012 , 11-Apr-2013                                                                                                                                                           
C          , Central City                                                                , DOWNTOWN / WESTLAKE                                                                                  , ZA                                                           , ZA-2012-2511-MCUP                                            , 17-Sep-2012 , 06-Aug-2013                                                                                                                                                           
NV         , Arleta - Pacoima                                                            , NORTH VALLEY                                                                                         , ZA                                                           , ZA-2012-1960-CU-ZAA-F                                        , 20-Jul-2012 , 27-Nov-2013                                                                                                                                                           
W          , West Los Angeles                                                            , WEST                                                                                                 , ZA                                                           , ZA-2012-2258-ZAA                                             , 21-Aug-2012 , 24-Jan-2013                                                                                                                                                           
C          , Central City                                                                , DOWNTOWN / WESTLAKE                                                                                  , ZA                                                           , ZA-2012-3242-ZV-CDO                                          , 21-Nov-2012 , 19-Feb-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , ZA                                                           , ZA-2012-3528-CUB-ZV                                          , 20-Dec-2012 , 24-Oct-2013                                                                                                                                                           
C          , Central City                                                                , UNKNOWN                                                                                              , ZA                                                           , ZA-2009-2992-CUB-CUX-CU-PA1                                  , 10-Dec-2012 , 12-Dec-2013                                                                                                                                                           
W          , Westchester - Playa del Rey                                                 , UNKNOWN                                                                                              , ZA                                                           , ZA-2004-3419-CU-PAD-PA2                                      , 09-Nov-2012 , 11-Apr-2013                                                                                                                                                           
W          , Palms - Mar Vista - Del Rey                                                 , UNKNOWN                                                                                              , ZA                                                           , ZA-2005-6518-CU-ZV-PA1                                       , 13-Nov-2012 , 15-May-2013                                                                                                                                                           
SV         , Canoga Park - Winnetka - Woodland Hills - West Hills                        , IN TRANSITION                                                                                        , ZA                                                           , ZA-2009-408-CUB-CUX-PA1                                      , 03-Dec-2012 , 31-Dec-2013                                                                                                                                                           
W          , Venice                                                                      , COASTAL                                                                                              , ZA                                                           , ZA-2012-3473-ZV                                              , 18-Dec-2012 , 03-Jul-2013                                                                                                                                                           
           ,                                                                             , SOUTH                                                                                                , ZA                                                           , ZA-1986-1092-CUZ-PA1                                         , 15-Feb-2013 , 14-Jun-2013                                                                                                                                                           
SV         , North Hollywood - Valley Village                                            , SOUTH VALLEY                                                                                         , ZA                                                           , ZA-2013-1281-CU                                              , 30-Apr-2013 , 10-Oct-2013                                                                                                                                                           
C          , Central City                                                                , UNKNOWN                                                                                              , ZA                                                           , ZA-2012-2944-MPA                                             , 23-Oct-2012 , 11-Jan-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , ZA                                                           , ZA-2012-3481-CUB                                             , 18-Dec-2012 , 21-Jul-2013                                                                                                                                                           
C          , Central City North                                                          , DOWNTOWN / WESTLAKE                                                                                  , ZA                                                           , ZA-2013-606-ZV                                               , 06-Mar-2013 , 04-Oct-2013                                                                                                                                                           
SV         , Bel Air - Beverly Crest                                                     , WEST                                                                                                 , ZA                                                           , ZA-2012-3525-ZV                                              , 20-Dec-2012 , 19-Jun-2013                                                                                                                                                           
SV         , Van Nuys - North Sherman Oaks                                               , UNKNOWN                                                                                              , ZA                                                           , ZA-1997-621-CUB-PA1                                          , 19-Dec-2012 , 15-Feb-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , ZA                                                           , ZA-2013-1093-CUB                                             , 15-Apr-2013 , 30-Sep-2013                                                                                                                                                           
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , ZA                                                           , ZA-2007-1857-CUB-PA1                                         , 21-Sep-2012 , 06-Feb-2013                                                                                                                                                           
NV         , Northridge                                                                  , NORTH VALLEY                                                                                         , ZA                                                           , ZA-2013-497-CUB-CU                                           , 22-Feb-2013 , 19-Jun-2013                                                                                                                                                           
W          , Westchester - Playa del Rey                                                 , COASTAL                                                                                              , ZA                                                           , ZA-2012-2483-CUB-CU-ZV                                       , 13-Sep-2012 , 22-Feb-2013                                                                                                                                                           
W          , Venice                                                                      , COASTAL                                                                                              , ZA                                                           , ZA-2013-1079-ZAA                                             , 12-Apr-2013 , 17-Jun-2013                                                                                                                                                           
W          , Bel Air - Beverly Crest                                                     , IN TRANSITION                                                                                        , ZA                                                           , ZA-2012-3559-F                                               , 24-Dec-2012 , 17-Jul-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , ZA                                                           , ZA-2013-100-CUB                                              , 14-Jan-2013 , 27-Jun-2013                                                                                                                                                           
W          , Venice                                                                      , COASTAL                                                                                              , ZA                                                           , ZA-2012-2764-ZAA                                             , 05-Oct-2012 , 11-Mar-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , ZA                                                           , ZA-2013-1235-CUB                                             , 25-Apr-2013 , 20-Jun-2013                                                                                                                                                           
SV         , Van Nuys - North Sherman Oaks                                               , SOUTH VALLEY                                                                                         , ZA                                                           , ZA-2012-2670-ZV                                              , 27-Sep-2012 , 15-Mar-2013                                                                                                                                                           
SV         , North Hollywood - Valley Village                                            , SOUTH VALLEY                                                                                         , ZA                                                           , ZA-2012-3447-ZV                                              , 14-Dec-2012 , 05-Apr-2013                                                                                                                                                           
C          , Central City                                                                , DOWNTOWN / WESTLAKE                                                                                  , ZA                                                           , ZA-2013-2111-CUB-CUX                                         , 12-Jul-2013 , 13-Dec-2013                                                                                                                                                           
S          , South Los Angeles                                                           , SOUTH                                                                                                , ZA                                                           , ZA-2013-714-ZV                                               , 14-Mar-2013 , 30-Aug-2013                                                                                                                                                           
SV         , North Hollywood - Valley Village                                            , SOUTH VALLEY                                                                                         , ZA                                                           , ZA-2013-682-CUB-CUX                                          , 12-Mar-2013 , 04-Oct-2013                                                                                                                                                           
           ,                                                                             , UNKNOWN                                                                                              , ZA                                                           , ZA-1992-707-ZV-PA2                                           , 18-Mar-2013 , 04-Oct-2013                                                                                                                                                           
E          , Northeast Los Angeles                                                       , EAST                                                                                                 , ZA                                                           , ZA-2013-795-CU                                               , 20-Mar-2013 , 16-Aug-2013                                                                                                                                                           
