Case Number,LADBS Inspection District,Address House Number,Address House Fraction Number,Address Street Direction,Address Street Name,Address Street Suffix,Address Street Suffix Direction,Address Zip,Date Case Generated,Date Case Closed,GIS Parcel Identification Number (PIN),Case Type,Area Planning Commission (APC),Response Days,Status of Case,Latitude/Longitude
441196,4104,816,,S,SPAULDING,AVE,,90036,01/10/2012,,132B177   262,CNAP,Central,,O,"(34.06032, -118.35844)"
613426,1133,1623,,S,SPAULDING,AVE,,90019,06/16/2014,,129B177  1450,GENERAL,Central,,O,"(34.04618, -118.36388)"
430803,1133,1746,,S,SPAULDING,AVE,,90019,10/07/2011,,126B177   413,GENERAL,Central,,O,"(34.04359, -118.3646)"
476697,1130,2700,,S,SPAULDING,AVE,,90016,08/16/2012,,123B173  1413,GENERAL,South Los Angeles,,O,"(34.03072, -118.36945)"
502595,1142,3539,,S,SPEARING,AVE,,90732,06/19/2013,,009B189   313,GENERAL,Harbor,,O,"(33.7215, -118.32371)"
423656,2121,1520,,S,SPENCE,ST,,90023,07/11/2011,,117A225   184,GENERAL,East Los Angeles,,O,"(34.01532, -118.20263)"
481489,1130,5646,,W,SPOKANE,ST,,90016,10/11/2012,,120B173   242,GENERAL,South Los Angeles,,O,"(34.02723, -118.37016)"
504418,2121,650, ,S,SPRING,ST, ,90014,07/05/2013,,127-5A211  70,GENERAL,Central,,O,
449784,2121,725,,S,SPRING,ST,,90014,02/21/2012,,127-5A211 106,GENERAL,Central,,O,"(34.04404, -118.25306)"
510618,3102,11449,,N,SPROULE,AVE,,91331,08/26/2013,,213B161   799,GENERAL,North Valley,,O,"(34.2782, -118.40659)"
607687,2103,241,,S,ST ANDREWS,PL,,90004,06/09/2014,,135B193    80,GENERAL,Central,,O,"(34.06986, -118.31178)"
465819,2103,465,,N,ST ANDREWS,PL,,90004,05/17/2012,,141B193  1256,GENERAL,Central,,O,"(34.07982, -118.31156)"
476939,2103,513,,N,ST ANDREWS,PL,,90004,08/21/2012,,141B193  1081,GENERAL,Central,,O,"(34.08081, -118.31131)"
440427,2103,840,,S,ST ANDREWS,PL,,90005,01/04/2012,,132B193   722,GENERAL,Central,,O,"(34.0568, -118.31103)"
633598,1133,1044,,S,ST ANDREWS,PL,,90019,07/09/2014,,129B193   542,GENERAL,Central,,O,"(34.05126, -118.31101)"
596133,1133,1051,,S,ST ANDREWS,PL,,90019,05/22/2014,,129B193   569,GENERAL,Central,,O,"(34.05112, -118.31132)"
537591,1110,5125,,S,ST ANDREWS,PL,,90062,01/27/2014,,111B193  1463,GENERAL,South Los Angeles,,O,"(33.99619, -118.31146)"
605670,1110,5133,,S,ST ANDREWS,PL,,90062,06/05/2014,,108B193    24,GENERAL,South Los Angeles,,O,"(33.99604, -118.31147)"
457820,1110,5514,,S,ST ANDREWS,PL,,90062,03/30/2012,,108B193   789,GENERAL,South Los Angeles,,O,"(33.99187, -118.31121)"
404723,2302,6180,,S,ST ANDREWS,PL,,90047,01/26/2011,,105B193   733,VEIP,South Los Angeles,,O,"(33.98359, -118.31134)"
460270,2123,6236,,S,ST ANDREWS,PL,,90047,04/16/2012,,105B193   905,CITATIONS,South Los Angeles,,O,"(33.98231, -118.31135)"
478587,1114,7320,,S,ST ANDREWS,PL,,90047,09/13/2012,,102B193  1659,GENERAL,South Los Angeles,,O,"(33.97317, -118.31103)"
541069,1114,8915,,S,ST ANDREWS,PL,,90047,02/03/2014,,096A193   215,GENERAL,South Los Angeles,,O,"(33.95588, -118.31133)"
499647,1133,4700,,W,ST CHARLES,PL,,90019,05/15/2013,,126B185    90,GENERAL,South Los Angeles,,O,"(34.04526, -118.33944)"
522969,3122,7843,,N,ST CLAIR,AVE,,91605,11/18/2013,,189B165   704,GENERAL,North Valley,,O,"(34.21335, -118.39994)"
519375,3122,8107,,N,ST CLAIR,AVE,,91605,10/24/2013,,189B165   139,GENERAL,North Valley,,O,"(34.21796, -118.39995)"
526794,2121,536,,N,ST LOUIS,ST,,90033,12/12/2013,,129A223    44,GENERAL,East Los Angeles,,O,"(34.04943, -118.21071)"
431406,2121,637,,N,ST LOUIS,ST,,90033,10/20/2011,,130-5A223 271,GENERAL,East Los Angeles,,O,"(34.05149, -118.20974)"
593752,2121,628,,S,ST VINCENT,CT,,90014,05/15/2014,,129A211   210,GENERAL,Central,,O,"(34.04624, -118.25317)"
610627,8202,628,,S,ST VINCENT,CT,,90014,06/12/2014,,129A211   210,SIGNS,Central,,O,"(34.04624, -118.25317)"
539096,3111,19733,,W,STAGG,ST,,91306,01/30/2014,,189B117   830,GENERAL,South Valley,,O,"(34.21087, -118.56345)"
542628,3111,19737,,W,STAGG,ST,,91306,02/10/2014,,189B117   909,GENERAL,South Valley,,O,"(34.21087, -118.56373)"
406266,2121,762,,S,STANFORD,AVE,,90021,02/15/2011,,126A213   709,GENERAL,Central,,O,"(34.03741, -118.24587)"
503731,4106,1807,,S,STANFORD,AVE,,90021,06/28/2013,,121-5A209 128,CNAP,South Los Angeles,,O,"(34.02746, -118.25525)"
408709,1102,3116,,S,STANFORD,AVE,,90292,03/09/2011,,108B149  1656,GENERAL,West Los Angeles,,O,"(33.98813, -118.44732)"
606063,1124,6931,,S,STANFORD,AVE,,90001,06/06/2014,,102B205   441,GENERAL,South Los Angeles,,O,"(33.97653, -118.2631)"
487420,1124,7515,,S,STANFORD,AVE,,90001,12/19/2012,,102B205  1563,GENERAL,South Los Angeles,,O,"(33.97151, -118.26311)"
634178,1124,7706,,S,STANFORD,AVE,,90001,07/09/2014,,099B205   423,GENERAL,South Los Angeles,,O,"(33.96904, -118.2628)"
495829,1114,11100,,S,STANFORD,AVE,,90059,04/03/2013,,088-5A207 386,GENERAL,South Los Angeles,,O,"(33.93469, -118.26285)"
556143,2111,513,,N,STANLEY,AVE,,90036,03/10/2014,,141B177  1088,GENERAL,Central,,O,"(34.08069, -118.35648)"
522705,2111,546,,N,STANLEY,AVE,,90036,11/14/2013,,141B177   914,GENERAL,Central,,O,"(34.08161, -118.35622)"
486732,2103,845,,S,STANLEY,AVE,,90036,12/11/2012,,132B177   377,GENERAL,Central,,O,"(34.05961, -118.35726)"
488471,2103,848,,S,STANLEY,AVE,,90036,01/08/2013,,132B177   411,GENERAL,Central,,O,"(34.05949, -118.35706)"
532602,2102,1546,,N,STANLEY,AVE,,90046,01/10/2014,,147B177   716,GENERAL,Central,,O,"(34.09943, -118.35598)"
544965,2102,2174,,N,STANLEY HILLS,DR,,90046,02/12/2014,,151-5A173  95,GENERAL,Central,,O,"(34.11056, -118.37669)"
425651,4102,4000,,N,STANSBURY,AVE,,91423,08/04/2011,,162B153   282,CNAP,South Valley,,O,"(34.14232, -118.44178)"
513029,2102,4419,,N,STANSBURY,AVE,,91423,09/16/2013,,165B153   215,GENERAL,South Valley,,O,"(34.15116, -118.44118)"
470218,2102,5730,,N,STANSBURY,AVE,,91401,06/15/2012,,174B153   422,GENERAL,South Valley,,O,"(34.17477, -118.44093)"
501285,3107,7014,,N,STANSBURY,AVE,,91405,06/03/2013,,183B153   557,GENERAL,South Valley,,O,"(34.19811, -118.44095)"
527303,3107,7044,,N,STANSBURY,AVE,,91405,12/16/2013,,183B153   423,GENERAL,South Valley,,O,"(34.19891, -118.44095)"
493417,4102,7860,,N,STANSBURY,AVE,,91402,03/07/2013,,189B153   662,CNAP,North Valley,,O,"(34.21382, -118.43984)"
570952,3107,7925,,N,STANSBURY,AVE,,91402,04/07/2014,,189B153   582,GENERAL,North Valley,,O,"(34.21472, -118.44008)"
585741,3107,7960,,N,STANSBURY,AVE,,91402,05/02/2014,,189B153   492,GENERAL,North Valley,,O,"(34.21575, -118.43984)"
491117,3123,9613,,N,STANWIN,AVE,,91331,02/14/2013,,201B157   743,GENERAL,North Valley,,O,"(34.24458, -118.4306)"
517565,1102,12706,,W,STANWOOD,DR,,90066,10/10/2013,,117B149   132,GENERAL,West Los Angeles,,O,"(34.01279, -118.44788)"
482352,1101,12807,,W,STANWOOD,DR,,90066,10/22/2012,,114B149    36,GENERAL,West Los Angeles,,O,"(34.01228, -118.4495)"
520249,3142,17133,,W,STARE,ST,,91325,10/30/2013,,204B133   517,GENERAL,North Valley,,O,"(34.25316, -118.50638)"
509959,2121,417,,S,STATE,ST,,90033,08/19/2013,02/17/2015,127-5A221 212,GENERAL,East Los Angeles,547,O,"(34.04248, -118.2186)"
466959,8513,1053,,N,STATE,ST,,90033,05/29/2012,,132A223    40,BILLBOARDS,East Los Angeles,,O,"(34.05745, -118.21068)"
499455,1124,4409,,S,STAUNTON,AVE,,90058,05/13/2013,,112-5A213 118,GENERAL,South Los Angeles,,O,"(34.00357, -118.24213)"
415764,1130,1856,,S,STEARNS,DR,,90035,04/28/2011,,126B173   515,GENERAL,South Los Angeles,,O,"(34.04231, -118.37387)"
503941,1130,2001,,S,STEARNS,DR,,90034,07/01/2013,,126B173   833,GENERAL,South Los Angeles,,O,"(34.03974, -118.37497)"
509843,2123,3764,,S,STEWART,AVE,,90066,08/16/2013,,111B153   267,CITATIONS,West Los Angeles,,O,"(34.00296, -118.43786)"
476162,1130,5369,,W,STILLWATER,DR,,90008,08/07/2012,,117B177   263,GENERAL,South Los Angeles,,O,"(34.01609, -118.36326)"
414973,2121,1150,,N,STONE,ST,,90063,04/25/2011,,130-5A229 101,GENERAL,East Los Angeles,,O,"(34.052, -118.19352)"
476091,2121,1251,,N,STONE,ST,,90063,08/06/2012,,132A229    86,GENERAL,East Los Angeles,,O,"(34.05402, -118.19335)"
521755,3124,9653,,N,STONEHURST,AVE,,91352,11/07/2013,,201B173   359,GENERAL,North Valley,,O,"(34.24528, -118.36786)"
450135,3124,10199,,N,STONEHURST,AVE,,91352,02/22/2012,,204B173   176,GENERAL,North Valley,,O,"(34.2554, -118.37428)"
479105,1101,2109,,N,STONEY HILL,ROAD,,90049,09/18/2012,,150B137    65,GENERAL,West Los Angeles,,O,"(34.10379, -118.49011)"
590998,2131,322,,E,STOWE,TER,,90042,05/12/2014,,153A229    51,GENERAL,East Los Angeles,,O,"(34.11511, -118.18933)"
585377,2115,1939,,N,STRADELLA,ROAD,,90077,05/02/2014,,147B145    25,GENERAL,West Los Angeles,,O,"(34.10298, -118.46072)"
533853,3302,11037,,N,STRANWOOD,AVE,,91345,01/15/2014,,210B145   209,VEIP,North Valley,,O,"(34.27123, -118.46632)"
515431,3123,11440,,W,STRATHERN,ST,,91605,10/01/2013,,189B169   267,GENERAL,North Valley,,O,"(34.21556, -118.38038)"
490343,3123,11566,,W,STRATHERN,ST,,91605,02/06/2013,,189B169   250,GENERAL,North Valley,,O,"(34.21556, -118.38382)"
496314,3302,12565,,W,STRATHERN,ST,,91605,04/11/2013,,189B161   358,VEIP,North Valley,,O,"(34.21585, -118.40784)"
482406,3204,15735,,W,STRATHERN,ST,,91406,10/23/2012,,189B141    67,CITATIONS,South Valley,,O,"(34.21582, -118.47641)"
515853,3301,15904,,W,STRATHERN,ST,,91406,10/02/2013,,189B141    78,VEIP,South Valley,,O,"(34.21559, -118.47974)"
419725,3301,15904,,W,STRATHERN,ST,,91406,05/31/2011,,189B141    78,VEIP,South Valley,,O,"(34.21559, -118.47974)"
419694,3301,15904,,W,STRATHERN,ST,,91406,05/26/2011,,189B141    78,VEIP,South Valley,,O,"(34.21559, -118.47974)"
419726,3301,15904,,W,STRATHERN,ST,,91406,05/31/2011,,189B141    78,VEIP,South Valley,,O,"(34.21559, -118.47974)"
419695,3301,15922,,W,STRATHERN,ST,,91406,05/26/2011,,189B141    77,VEIP,South Valley,,O,"(34.21559, -118.48018)"
551318,3143,18341,,W,STRATHERN,ST,,91335,02/25/2014,,189B125   348,GENERAL,South Valley,,O,"(34.21576, -118.5331)"
486645,3111,20104,,W,STRATHERN,ST,,91306,12/10/2012,,189B113  1343,GENERAL,South Valley,,O,"(34.21548, -118.57143)"
493878,2123,6138,,E,STRICKLAND,AVE,,90042,03/11/2013,,157-5A231  34,GENERAL,East Los Angeles,,O,"(34.12787, -118.18574)"
644535,2123,6223,,E,STRICKLAND,AVE,,90042,07/22/2014,,159A231   287,GENERAL,East Los Angeles,,O,"(34.12843, -118.18426)"
513130,2102,4912,,N,STROHM,AVE,,91601,09/16/2013,,168B177   217,GENERAL,South Valley,,O,"(34.1599, -118.35921)"
487612,3122,5546,,N,STROHM,AVE,,91601,12/27/2012,,174B177   710,GENERAL,South Valley,,O,"(34.1713, -118.35924)"
507767,3111,23515,,W,STYLES,ST,,91367,07/31/2013,,177B093   187,GENERAL,South Valley,,O,"(34.18408, -118.63972)"
490408,1101,347,,N,SUMAC,LANE,,90402,02/06/2013,,123B129   491,GENERAL,West Los Angeles,,O,"(34.03303, -118.51434)"
407115,2102,4060,,N,SUMAC,DR,,91403,02/23/2011,,162B149    77,GENERAL,South Valley,,O,"(34.144, -118.44918)"
441981,1142,865,,W,SUMMERLAND,AVE,,90731,01/13/2012,,018B197   278,GENERAL,Harbor,,O,"(33.74751, -118.2958)"
451303,2115,1415,,N,SUMMITRIDGE,DR,,90210,02/28/2012,,147B157   453,GENERAL,West Los Angeles,,O,"(34.09603, -118.42029)"
495745,3102,12917,,W,SUNBURST,ST,,91331,04/02/2013,,204B161   774,GENERAL,North Valley,,O,"(34.25212, -118.41444)"
645414,3102,13277,,W,SUNBURST,ST,,91331,07/24/2014,,201B157   590,GENERAL,North Valley,,O,"(34.24603, -118.42256)"
456521,3123,13364,,W,SUNBURST,ST,,91331,03/21/2012,,201B157   788,GENERAL,North Valley,,O,"(34.24421, -118.42483)"
596120,3123,13606,,W,SUNBURST,ST,,91331,05/22/2014,,198B157   319,GENERAL,North Valley,,O,"(34.24092, -118.42947)"
477329,2144,1936,,W,SUNFLOWER,AVE,,90039,08/28/2012,,147A211   107,GENERAL,East Los Angeles,,O,"(34.09851, -118.24938)"
460873,2144,1950,,W,SUNFLOWER,AVE,,90039,04/19/2012,,147A211    91,GENERAL,East Los Angeles,,O,"(34.09864, -118.24967)"
491133,3123,8601,,N,SUNLAND,BLVD,,91352,02/14/2013,,192B177    26,GENERAL,North Valley,,O,"(34.22547, -118.36601)"
524801,3124,9480,,N,SUNLAND,BLVD,,91040,12/05/2013,,198B177    61,GENERAL,North Valley,,O,"(34.2427, -118.36614)"
478149,3124,9633,,N,SUNLAND,PL,,91040,09/06/2012,,201B177   289,GENERAL,North Valley,,O,"(34.24643, -118.35975)"
557646,3124,9633,,N,SUNLAND,PL,,91040,03/13/2014,,201B177   289,GENERAL,North Valley,,O,"(34.24643, -118.35975)"
534473,3124,9715,,N,SUNLAND,BLVD,,91040,01/16/2014,,201B177   188,GENERAL,North Valley,,O,"(34.24714, -118.35547)"
635489,3124,9830,,N,SUNLAND,BLVD,,91040,07/10/2014,,201B181   191,GENERAL,North Valley,,O,"(34.24782, -118.34879)"
447914,3124,10078,,N,SUNLAND,BLVD,,91040,02/15/2012,,204B181   209,GENERAL,North Valley,,O,"(34.25717, -118.34205)"
644911,3111,7952,,N,SUNNY BRAE,AVE,,91306,07/23/2014,,189B109   489,GENERAL,South Valley,,O,"(34.21485, -118.58071)"
440303,4105,7047,,W,SUNNYCREST,TR,,91042,01/03/2012,,204B201   783,CNAP,North Valley,,O,"(34.25393, -118.28464)"
492211,2144,3015,,N,SUNNYNOOK,DR,,90039,02/28/2013,,154-5A207 232,GENERAL,East Los Angeles,,O,"(34.1176, -118.26555)"
542636,1101,4251,,S,SUNNYSIDE,AVE,,90066,02/10/2014,,108B153  1227,GENERAL,West Los Angeles,,O,"(33.98899, -118.43728)"
421612,1101,230,,E,SUNSET,AVE,,90291,06/20/2011,,109-5A143 134,GENERAL,West Los Angeles,,O,"(33.99478, -118.47546)"
472906,8513,1344,,W,SUNSET,BLVD,,90026,07/03/2012,,138A211   135,BILLBOARDS,East Los Angeles,,O,"(34.07257, -118.2513)"
479002,2144,1533,,W,SUNSET,BLVD,,90026,09/18/2012,,139-5A209 198,GENERAL,East Los Angeles,,O,"(34.07639, -118.25601)"
449911,2132,1572,,W,SUNSET,BLVD,,90026,02/22/2012,,139-5A209 202,GENERAL,East Los Angeles,,O,"(34.07651, -118.25727)"
420943,2144,1815,,W,SUNSET,BLVD,,90026,06/09/2011,,139-5A209  51,GENERAL,East Los Angeles,,O,"(34.07799, -118.25968)"
515126,2144,1918,,W,SUNSET,BLVD,,90026,10/01/2013,,139-5A207  82,GENERAL,East Los Angeles,,O,"(34.07781, -118.26133)"
622319,2144,2511,,W,SUNSET,BLVD,,90026,06/24/2014,,141A205   250,GENERAL,East Los Angeles,,O,"(34.07989, -118.26933)"
490299,2144,2854,,W,SUNSET,BLVD,,90026,02/05/2013,,141A205    23,GENERAL,East Los Angeles,,O,"(34.08265, -118.27325)"
429821,2144,3040,,W,SUNSET,BLVD,,90026,09/28/2011,,142-5A203 347,GENERAL,East Los Angeles,,O,"(34.08383, -118.27429)"
473441,2144,3129,,W,SUNSET,BLVD,,90026,07/11/2012,,142-5A203 193,GENERAL,East Los Angeles,,O,"(34.08516, -118.27449)"
424962,2301,3224,,W,SUNSET,BLVD,,90026,07/28/2011,,142-5A203 119,VEIP,East Los Angeles,,O,"(34.08602, -118.27533)"
424894,2301,3224,,W,SUNSET,BLVD,,90026,07/28/2011,,142-5A203 119,VEIP,East Los Angeles,,O,"(34.08602, -118.27533)"
522493,8202,3300,,W,SUNSET,BLVD,,90026,11/13/2013,,142-5A203  76,SIGNS,East Los Angeles,,O,"(34.08641, -118.27551)"
518883,2301,3300,,W,SUNSET,BLVD,,90026,10/22/2013,,142-5A203  76,VEIP,East Los Angeles,,O,"(34.08641, -118.27551)"
518882,2301,3300,,W,SUNSET,BLVD,,90026,10/22/2013,,142-5A203  76,VEIP,East Los Angeles,,O,"(34.08641, -118.27551)"
485403,2144,3705,,W,SUNSET,BLVD,,90026,11/27/2012,,144A203    12,GENERAL,East Los Angeles,,O,"(34.09079, -118.27782)"
474012,2144,3705,,W,SUNSET,BLVD,,90026,07/17/2012,,144A203    12,GENERAL,East Los Angeles,,O,"(34.09079, -118.27782)"
495135,2144,3819,,W,SUNSET,BLVD,,90026,03/21/2013,,145-5A203 439,GENERAL,East Los Angeles,,O,"(34.09141, -118.27907)"
419895,8202,4301,,W,SUNSET,BLVD,,90029,06/01/2011,,145-5A201  20,SIGNS,East Los Angeles,,O,"(34.09485, -118.28275)"
420834,2141,4517,,W,SUNSET,BLVD,,90027,06/08/2011,,147B197   700,GENERAL,Central,,O,"(34.09834, -118.28803)"
612445,2141,5007,,W,SUNSET,BLVD,,90027,06/12/2014,,147B197   709,GENERAL,Central,,O,"(34.09831, -118.29863)"
420819,2141,5115,,W,SUNSET,BLVD,,90027,06/08/2011,,147A195    66,GENERAL,Central,,O,"(34.09829, -118.30109)"
471624,2103,7225,,W,SUNSET,BLVD,,90046,06/25/2012,,147B181   640,GENERAL,Central,,O,"(34.09815, -118.34762)"
478253,8511,7268,,W,SUNSET,BLVD,,90046,09/10/2012,,147B181   669,BILLBOARDS,Central,,O,"(34.09783, -118.34876)"
550846,8513,8001,,W,SUNSET,BLVD,,90046,02/21/2014,,147B177   992,BILLBOARDS,Central,,O,"(34.09819, -118.36445)"
463917,1101,11571,,W,SUNSET,BLVD,,90049,05/07/2012,,135B145   217,GENERAL,West Los Angeles,,O,"(34.06835, -118.47025)"
499247,1101,11670,,W,SUNSET,BLVD,,90049,05/08/2013,,135B145   520,GENERAL,West Los Angeles,,O,"(34.06592, -118.47004)"
625101,1101,11945,,W,SUNSET,BLVD,,90049,06/26/2014,,135B141   919,GENERAL,West Los Angeles,,O,"(34.06273, -118.47344)"
426564,1101,12169,,W,SUNSET,BLVD,,90049,08/17/2011,,132B141   266,GENERAL,West Los Angeles,,O,"(34.05917, -118.47764)"
441279,1101,15239,,W,SUNSET,BLVD,,90272,01/10/2012,,129B125   834,GENERAL,West Los Angeles,,O,"(34.04685, -118.52492)"
476469,2102,2300,,N,SUNSET HEIGHTS,DR,,90046,08/13/2012,,153B169   924,GENERAL,West Los Angeles,,O,"(34.11262, -118.38825)"
408093,2102,2344,,N,SUNSET HEIGHTS,DR,,90046,03/03/2011,,153B169   869,GENERAL,West Los Angeles,,O,"(34.11282, -118.38866)"
581682,2102,1729,,N,SUNSET PLAZA,DR,,90069,04/22/2014,,147B169   179,GENERAL,Central,,O,"(34.10144, -118.3805)"
608124,3122,11131,,W,SUNSHINE,TER,,91604,06/10/2014,,162B173   441,GENERAL,South Valley,,O,"(34.14081, -118.37322)"
527483,3122,11553,,W,SUNSHINE,TER,,91604,12/18/2013,,162B169   716,GENERAL,South Valley,,O,"(34.13885, -118.3831)"
527591,3122,3714,,N,SUNSWEPT,DR,,91604,12/19/2013,,162B165   813,GENERAL,South Valley,,O,"(34.13871, -118.40548)"
612334,3122,3750,,N,SUNSWEPT,DR,,91604,06/12/2014,,162B161   552,GENERAL,South Valley,,O,"(34.13949, -118.40663)"
481830,3142,12024,,N,SUSAN,DR,,91344,10/17/2012,,216B137   278,GENERAL,North Valley,,O,"(34.28805, -118.49644)"
457939,8121,10954,,N,SUTTER,AVE,,91331,04/02/2012,,210B157   785,PACE,North Valley,,O,"(34.26921, -118.42382)"
619647,2102,14755,,W,SUTTON,ST,,91403,06/23/2014,,165A149    14,GENERAL,South Valley,,O,"(34.14822, -118.45586)"
489988,1101,717,,N,SWARTHMORE,AVE,,90272,01/29/2013,,126B125   352,GENERAL,West Los Angeles,,O,"(34.04303, -118.52705)"
489895,1101,725,,N,SWARTHMORE,AVE,,90272,01/28/2013,,126B125   323,GENERAL,West Los Angeles,,O,"(34.04325, -118.52699)"
570730,2111,722,,N,SYCAMORE,AVE,,90038,04/07/2014,,141B181   470,GENERAL,Central,,O,"(34.08412, -118.34265)"
508719,4104,1338,,N,SYCAMORE,AVE,,90028,08/08/2013,,147B181  1062,CNAP,Central,,O,"(34.0954, -118.34269)"
508717,4104,1340,,N,SYCAMORE,AVE,,90028,08/08/2013,,147B181  1062,CNAP,Central,,O,"(34.0955, -118.34269)"
478135,1133,1528,,S,SYCAMORE,AVE,,90019,09/06/2012,,129B181  1279,GENERAL,Central,,O,"(34.04588, -118.34883)"
514071,1130,2835,,S,SYCAMORE,AVE,,90016,09/19/2013,,120B177   120,GENERAL,South Los Angeles,,O,"(34.02862, -118.35594)"
591019,1130,2847,,S,SYCAMORE,AVE,,90016,05/12/2014,,120B177   197,GENERAL,South Los Angeles,,O,"(34.0283, -118.35606)"
486608,4104,2853,,S,SYCAMORE,AVE,,90016,12/07/2012,,120B177   250,CNAP,South Los Angeles,,O,"(34.02815, -118.35611)"
486603,4104,2855,,S,SYCAMORE,AVE,,90016,12/07/2012,,120B177   250,CNAP,South Los Angeles,,O,"(34.02809, -118.35614)"
480204,1130,3445,,S,SYCAMORE,AVE,,90016,09/27/2012,,120B177   885,GENERAL,South Los Angeles,,O,"(34.02405, -118.35725)"
488152,2103,7206,,W,SYCAMORE,TR,,90068,01/04/2013,,156A181    29,GENERAL,South Valley,,O,"(34.12375, -118.3487)"
498269,3123,8625,,N,SYLMAR,AVE,,91402,04/25/2013,,192B153    35,GENERAL,North Valley,,O,"(34.22672, -118.44357)"
509361,3123,8844,,N,SYLMAR,AVE,,91402,08/13/2013,,195B153   560,GENERAL,North Valley,,O,"(34.23125, -118.44547)"
519376,3122,12359,,W,SYLVAN,ST,,91606,10/24/2013,,177B165    78,GENERAL,South Valley,,O,"(34.1853, -118.40289)"
406649,3122,14036,,W,SYLVAN,ST,,91401,02/17/2011,,177B153   235,GENERAL,South Valley,,O,"(34.18429, -118.43905)"
507679,3107,14107,,W,SYLVAN,ST,,91401,07/30/2013,,177B153   135,GENERAL,South Valley,,O,"(34.1848, -118.4403)"
503295,3107,14228,,W,SYLVAN,ST,,91401,06/26/2013,,177B153   209,GENERAL,South Valley,,O,"(34.18452, -118.44311)"
504026,3113,19160,,W,SYLVAN,ST,,91335,07/01/2013,,177B121   124,GENERAL,South Valley,,O,"(34.18476, -118.55101)"
508257,3111,23011,,W,SYLVAN,ST,,91367,08/05/2013,,177B097    73,GENERAL,South Valley,,O,"(34.18475, -118.62805)"
556772,3113,7342,,N,SYLVIA,AVE,,91335,03/12/2014,,186B117   711,GENERAL,South Valley,,O,"(34.20412, -118.5523)"
485583,3113,7530,,N,SYLVIA,AVE,,91335,11/28/2012,,186B117   323,GENERAL,South Valley,,O,"(34.20732, -118.5523)"
483249,2131,3596,,E,TACOMA,AVE,,90065,11/05/2012,,147A219    63,GENERAL,East Los Angeles,,O,"(34.09834, -118.22535)"
579473,2141,1845,,N,TAFT,AVE,,90028,04/18/2014,,150A191   220,GENERAL,Central,,O,"(34.10477, -118.31493)"
502509,1102,426,,E,TALBERT,ST,,90293,06/18/2013,,096B153  1126,GENERAL,West Los Angeles,,O,"(33.95504, -118.44271)"
502987,3102,9933,,N,TAMARACK,AVE,,91331,06/24/2013,,201B161   199,GENERAL,North Valley,,O,"(34.25053, -118.41028)"
469120,3102,10576,,N,TAMARACK,AVE,,91331,06/11/2012,,207B157   846,GENERAL,North Valley,,O,"(34.26236, -118.42242)"
588499,4105,10913,,N,TAMARACK,AVE,,91331,05/08/2014,,210B157   963,CNAP,North Valley,,O,"(34.26827, -118.42922)"
478019,3113,5408,,N,TAMPA,AVE,,91356,09/06/2012,,174B117   629,GENERAL,South Valley,,O,"(34.16928, -118.55331)"
431244,3113,5461,,N,TAMPA,AVE,,91356,10/18/2011,,174B117   502,GENERAL,South Valley,,O,"(34.17064, -118.55361)"
482890,3113,5529,,N,TAMPA,AVE,,91356,10/31/2012,,174B117   419,GENERAL,South Valley,,O,"(34.17164, -118.5536)"
473154,3113,6342,,N,TAMPA,AVE,,91335,07/10/2012,,180B117   994,GENERAL,South Valley,,O,"(34.18592, -118.55326)"
474435,3113,7924,,N,TAMPA,AVE,,91335,07/24/2012,,189B117   481,GENERAL,South Valley,,O,"(34.21469, -118.55334)"
476705,3113,7938,,N,TAMPA,AVE,,91335,08/17/2012,,189B117   430,GENERAL,South Valley,,O,"(34.2151, -118.55334)"
499317,2103,3445,,N,TARECO,DR,,90068,05/09/2013,,159B181   514,GENERAL,Central,,O,"(34.13058, -118.34016)"
466473,3113,4903,,N,TARZANA WOODS,DR,,91356,05/21/2012,,168B117   170,GENERAL,South Valley,,O,"(34.15857, -118.56064)"
471588,1102,11818,,S,TEALE,ST,,90230,06/22/2012,,105B165   340,GENERAL,West Los Angeles,,O,"(33.98522, -118.40108)"
595784,3124,9978,3/4,N,TEAZLE CANYON,ROAD,,91040,05/20/2014,,204B181   295,GENERAL,North Valley,,O,"(34.2525, -118.34151)"
508193,3122,5206,,N,TEESDALE,AVE,,91607,08/05/2013,,171B161   532,GENERAL,South Valley,,O,"(34.16517, -118.40826)"
503037,3122,5230,,N,TEESDALE,AVE,,91607,06/25/2013,,171B161   426,GENERAL,South Valley,,O,"(34.16579, -118.40825)"
479696,3122,8200,,N,TEESDALE,AVE,,91605,09/21/2012,02/19/2015,192B161   310,GENERAL,North Valley,881,O,"(34.22004, -118.41067)"
485431,3122,8240,,N,TEESDALE,AVE,,91605,11/28/2012,02/03/2015,192B161   156,GENERAL,North Valley,797,O,"(34.22106, -118.4112)"
426823,4105,8943,,N,TELFAIR,AVE,,91352,08/23/2011,,195B169   218,CNAP,North Valley,,O,"(34.2316, -118.39195)"
601995,3102,9869,,N,TELFAIR,AVE,,91331,06/02/2014,,201B161   389,GENERAL,North Valley,,O,"(34.24905, -118.41051)"
497180,3102,9928,,N,TELFAIR,AVE,,91331,04/18/2013,,201B161   168,GENERAL,North Valley,,O,"(34.25041, -118.41145)"
485722,3102,10871,,N,TELFAIR,AVE,,91331,11/29/2012,,207B157    73,GENERAL,North Valley,,O,"(34.26767, -118.43013)"
